Median_age_of_persons_Census_year_2011,Median_mortgage_repayment_monthly_Census_year_2011,Median_rent_weekly_Census_year_2011,Median_total_family_income_weekly_Census_year_2011,Median_total_household_income_weekly_Census_year_2011,Median_total_personal_income_weekly_Census_year_2011,Average_household_size_Census_year_2011,Average_number_of_persons_per_bedroom_Census_year_2011
41.0,1517.0,180.0,1307.0,1015.0,533.0,2.5,1.1
37.0,2045.0,280.0,2069.0,1679.0,830.0,2.6,1.1
38.0,1300.0,200.0,1256.0,1033.0,642.0,2.3,1.1
49.0,1304.0,209.0,972.0,815.0,438.0,2.3,1.1
41.0,1950.0,280.0,1395.0,1087.0,529.0,2.5,1.1
40.0,1733.0,260.0,1169.0,931.0,466.0,2.5,1.1
35.0,1619.0,210.0,1416.0,1119.0,531.0,2.5,1.1
42.0,1083.0,140.0,1025.0,828.0,442.0,2.4,1.1
42.0,1517.0,185.0,1181.0,908.0,453.0,2.4,1.1
37.0,1600.0,215.0,1450.0,1170.0,577.0,2.5,1.1
46.0,1300.0,210.0,925.0,772.0,397.0,2.4,1.1
43.0,1517.0,250.0,1065.0,878.0,460.0,2.4,1.1
40.0,953.0,115.0,1112.0,876.0,476.0,2.4,1.1
44.0,920.0,140.0,988.0,806.0,432.0,2.3,1.1
39.0,1300.0,160.0,1162.0,932.0,507.0,2.5,1.1
37.0,1700.0,235.0,1416.0,1183.0,518.0,2.6,1.1
36.0,1740.0,260.0,1583.0,1316.0,568.0,2.7,1.1
42.0,1700.0,250.0,1212.0,979.0,493.0,2.5,1.1
36.0,1733.0,200.0,1534.0,1241.0,602.0,2.5,1.1
39.0,1775.0,205.0,1241.0,997.0,435.0,2.6,1.1
31.0,0.0,221.0,900.0,1375.0,500.0,1.0,0.0
39.0,1907.0,265.0,1387.0,1149.0,498.0,2.7,1.1
37.0,2037.0,260.0,1567.0,1160.0,517.0,2.5,1.1
52.0,1378.0,210.0,884.0,731.0,393.0,2.2,1.1
47.0,1291.0,190.0,880.0,730.0,383.0,2.3,1.1
46.0,1164.0,100.0,1333.0,952.0,670.0,2.3,1.2
47.0,1650.0,250.0,1008.0,838.0,448.0,2.3,1.1
46.0,1300.0,200.0,935.0,774.0,396.0,2.4,1.1
38.0,1408.0,190.0,1327.0,1008.0,547.0,2.4,1.1
43.0,1083.0,140.0,1059.0,857.0,474.0,2.4,1.1
46.0,1192.0,150.0,1044.0,838.0,461.0,2.3,1.1
37.0,1300.0,190.0,1217.0,958.0,477.0,2.4,1.1
43.0,1100.0,150.0,919.0,745.0,398.0,2.4,1.1
38.0,1300.0,140.0,1264.0,1012.0,555.0,2.5,1.1
40.0,1360.0,200.0,1164.0,938.0,501.0,2.4,1.1
41.0,1800.0,260.0,1461.0,1146.0,532.0,2.5,1.1
41.0,1733.0,250.0,1295.0,1058.0,493.0,2.6,1.1
37.0,1742.0,275.0,1508.0,1154.0,558.0,2.4,1.1
44.0,1680.0,300.0,1094.0,893.0,479.0,2.4,1.1
