region_id,2011_Census_Total_responses_Both_parents_born_overseas,2011_Census_Total_responses_Father_only_born_overseas,2011_Census_Total_responses_Mother_only_born_overseas,2011_Census_Total_responses_Both_parents_born_in_Australia,2011_Census_Total_responses_Birthplace_not_stated,2011_Census_Total_responses_Total_responses,2011_Census_Total_persons_Both_parents_born_overseas,2011_Census_Total_persons_Father_only_born_overseas,2011_Census_Total_persons_Mother_only_born_overseas,2011_Census_Total_persons_Both_parents_born_in_Australia,2011_Census_Total_persons_Birthplace_not_stated,2011_Census_Total_persons_Total_responses
10101,8074,5324,3880,66101,5171,88550,6698,3225,2346,49811,4776,66856
10102,14518,6434,4556,42563,3791,71862,12366,3889,2713,31246,3528,53742
10103,5563,3374,2627,24909,3968,40441,4566,2004,1572,18027,3788,29957
10104,12691,6906,4789,61022,4822,90230,10636,4228,2935,45330,4419,67548
10201,38130,20647,13913,131171,12272,216133,31567,12487,8449,97001,11215,160719
10202,27094,17121,11289,129010,10514,195028,22641,10540,6960,97379,9566,147086
10301,5556,3731,2729,42562,3828,58406,4624,2247,1635,31721,3565,43792
10302,3989,3193,2342,57209,4067,70800,3368,1972,1455,43933,3694,54422
10303,5469,3502,2539,41653,3771,56934,4591,2156,1527,31615,3489,43378
10304,6599,4338,2930,54117,4155,72139,5576,2690,1749,40740,3795,54550
10401,5365,4033,2866,50176,3371,65811,4459,2483,1773,37903,3096,49714
10402,15408,8635,5904,74682,5744,110373,12925,5246,3671,55334,5185,82361
10501,2346,1212,948,26197,2724,33427,1968,764,587,20493,2586,26398
10502,1721,1334,713,22000,2038,27806,1487,842,456,17315,1903,22003
10503,5207,4035,2796,70267,5347,87652,4427,2473,1725,53654,4939,67218
10601,8796,6483,4725,81502,6008,107514,7229,3996,2928,62318,5505,81976
10602,7574,5300,3941,63810,3679,84304,6300,3246,2375,48508,3359,63788
10603,11069,6816,4817,60838,4773,88313,9248,4186,2935,46032,4425,66826
10604,3009,1981,1456,29529,2637,38612,2511,1214,894,22693,2497,29809
10701,25668,9218,5968,45511,4756,91121,22855,5727,3734,34337,4275,70928
10702,7,0,0,10,7,24,4,0,0,8,4,16
10703,23054,10599,7501,63134,4242,108530,19989,6589,4597,47176,3839,82190
10704,39925,15591,11221,84537,7469,158743,35076,9448,6791,61601,6865,119781
10801,4293,2842,1879,27618,2379,39011,3588,1800,1177,21120,2176,29861
10802,5510,3938,2591,45773,3809,61621,4607,2421,1599,34943,3498,47068
10803,75,45,31,369,12,532,59,27,21,273,8,388
10804,11691,6970,5066,67858,4982,96567,9793,4287,3097,51127,4510,72814
10805,6057,4108,2820,49543,3574,66102,5089,2519,1730,37895,3280,50513
10901,7918,4766,3209,56185,4113,76191,6791,2908,1962,41696,3777,57134
10902,1399,731,531,13053,1113,16827,1226,473,335,10024,1019,13077
10903,3960,2587,1893,40684,2639,51763,3419,1615,1184,31288,2451,39957
11001,4917,2979,2197,35794,2706,48593,4035,1789,1290,26401,2488,36003
11002,3195,2308,1695,38800,2529,48527,2687,1448,1073,29687,2274,37169
11003,1786,1228,970,26607,2529,33120,1502,770,612,20831,2377,26092
11004,5694,4629,3156,80415,5684,99578,4761,2842,1959,61546,5290,76398
11101,16670,11799,8052,109721,6280,152522,14154,7220,4945,82647,5687,114653
11102,10591,7184,4837,64685,3989,91286,8790,4425,2964,49086,3544,68809
11103,28300,16059,10925,140354,11485,207123,24410,9796,6626,103793,10602,155227
11201,14954,9052,6364,65901,5389,101660,11996,5493,3822,48381,4854,74546
11202,8823,6370,4372,68744,4563,92872,7165,3856,2629,51113,4110,68873
11203,18494,9448,6563,74369,6330,115204,15284,5830,4068,55438,5767,86387
11301,9519,3550,2011,40950,3861,59891,8598,2380,1270,30424,3598,46270
11302,1731,891,740,14032,1014,18408,1469,544,436,10805,940,14194
11303,8984,5811,4227,92214,6059,117295,7648,3550,2558,69835,5532,89123
11401,16673,9914,6806,79245,7465,120103,14117,6067,4177,59429,6883,90673
11402,10084,5694,3995,36964,2870,59607,8304,3444,2392,26978,2569,43687
11501,69629,14280,10066,68758,5092,167825,62594,8781,6148,50266,4636,132425
11502,8871,3289,2210,17457,1133,32960,7645,2043,1375,12877,1009,24949
11503,4960,2963,2066,19623,1732,31344,4122,1822,1263,14777,1617,23601
11504,10346,3312,2105,17486,1363,34612,9110,2043,1341,13168,1276,26938
11601,71797,10857,7361,54023,7756,151794,65468,6839,4616,40364,7167,124454
11602,40677,7455,5081,35010,3985,92208,36738,4598,3093,26190,3685,74304
11603,58507,8566,5618,43645,8663,124999,52991,5373,3569,33547,8074,103554
11701,24465,3552,2559,14637,3214,48427,22136,2218,1582,10740,3014,39690
11702,26640,6375,4480,23780,4290,65565,23438,3771,2627,16190,4043,50069
11703,99296,17853,12908,77266,29923,237246,86315,10643,7654,52957,29147,186716
11801,61556,15999,11251,53535,14572,156913,51280,9830,6847,37308,13943,119208
11802,70066,13835,10011,56873,12988,163773,61558,8432,6046,40555,12340,128931
11901,97769,14558,7961,52859,13128,186275,90678,10326,5476,39845,12556,158881
11902,93683,8548,5014,22850,10979,141074,88018,6057,3450,17048,10464,125037
11903,70325,9981,6547,45498,6639,138990,65358,6498,4182,33449,6243,115730
11904,81668,10089,6412,36017,10006,144192,75703,6837,4201,26645,9491,122877
12001,39797,8215,5370,33862,5468,92712,36031,5218,3309,24099,5194,73851
12002,22996,8134,5423,30607,3587,70747,18889,4838,3179,21194,3325,51425
12003,90260,11952,7946,42649,11229,164036,83503,7475,4944,29942,10758,136622
12101,54386,12213,9319,48294,5777,129989,48092,7308,5607,33888,5418,100313
12102,36032,9499,6852,43145,3530,99058,31740,5697,4105,30755,3190,75487
12103,54087,14092,10964,59053,5088,143284,46581,8432,6541,41933,4660,108147
12104,42214,11173,8376,47708,8150,117621,35327,6667,4939,33129,7821,87883
12201,18595,5459,4265,21989,3035,53343,15216,3281,2520,15612,2869,39498
12202,19124,8425,6274,38751,3090,75664,15742,5075,3783,28271,2793,55664
12203,59236,20011,14443,83354,8017,185061,49960,12094,8657,60771,7290,138772
12301,13814,7330,4625,40709,2314,68792,11781,4485,2815,30571,2083,51735
12302,65046,15451,10496,83637,11751,186381,57644,9562,6470,62539,10800,147015
12303,7863,4502,3104,29915,2077,47461,6611,2744,1895,22692,1881,35823
12401,19732,12092,7856,60012,5253,104945,15971,7073,4627,42325,4745,74741
12402,3,0,0,3,0,6,3,0,0,3,0,6
12403,37923,16373,10766,90340,7952,163354,32842,10037,6588,67726,7246,124439
12404,8105,4348,3118,28593,3179,47343,6884,2693,1896,21416,2929,35818
12405,21792,5897,3732,30683,3732,65836,19227,3681,2296,23192,3411,51807
12501,59072,3352,2318,9829,8076,82647,55638,2379,1609,7257,7899,74782
12502,34513,5179,3671,24884,3455,71702,31971,3248,2272,18141,3275,58907
12503,90169,11963,6182,36324,11636,156274,83785,8635,4284,27381,11108,135193
12504,80551,9193,6610,43192,10682,150228,74716,5841,4067,31538,10231,126393
12601,22408,4288,3338,22615,1419,54068,20477,2593,1993,15973,1297,42333
12602,68345,12219,8416,52585,7200,148765,62721,7521,5135,37461,6820,119658
12701,51556,7195,4094,24767,6444,94056,47426,4945,2719,18801,6061,79952
12702,142727,9002,5541,27816,12212,197298,132428,6166,3821,21196,11565,175176
12703,64462,8296,5154,36224,8823,122959,59599,5530,3367,27284,8452,104232
12801,30199,12929,9137,78659,5799,136723,25987,7983,5600,58257,5297,103124
12802,28863,13711,9293,83217,4767,139851,24728,8313,5638,61491,4309,104479
19797,595,226,124,1370,385,2700,530,138,81,972,372,2093
20101,12361,8029,5678,94026,6399,126493,10512,4876,3379,69797,5825,94389
20102,5039,2762,1978,24383,1619,35781,4199,1647,1180,17757,1459,26242
20103,3162,1686,1308,22750,1565,30471,2672,1049,813,17303,1427,23264
20201,8647,6555,4226,88401,5466,113295,7337,3991,2578,66038,5002,84946
20202,7315,4578,3045,39651,3285,57874,5987,2781,1826,28874,3023,42491
20203,1172,695,526,11201,842,14436,1006,434,328,8465,735,10968
20301,2873,1756,1268,15010,790,21697,2387,1059,772,11192,707,16117
20302,44042,19052,12430,138910,11446,225880,38694,11732,7609,103266,10471,171772
20303,11346,6940,4810,52478,3419,78993,9486,4199,2913,38683,3086,58367
20401,8859,5569,3711,47565,3570,69274,7439,3361,2242,35336,3271,51649
20402,5513,3721,2328,43846,2462,57870,4693,2278,1452,32661,2206,43290
20403,11346,6959,5155,65905,4246,93611,9579,4220,3085,48745,3836,69465
20501,7205,4692,3298,38951,2397,56543,6005,2864,2008,29070,2162,42109
20502,6834,3965,2600,38824,2822,55045,5786,2437,1571,29367,2518,41679
20503,11406,6163,4256,49138,3886,74849,9675,3767,2609,36443,3536,56030
20504,16005,7727,4896,58802,5237,92667,13954,4780,3022,44194,4804,70754
20505,6099,3530,2604,36888,3435,52556,5155,2168,1594,27952,3172,40041
20601,39488,9726,5992,40390,5518,101114,35500,5982,3601,27909,5163,78155
20602,21201,6640,4226,28824,3084,63975,18840,3979,2518,19755,2836,47928
20603,25708,6406,4199,37050,4356,77719,23146,3941,2527,26403,4120,60137
20604,60314,8633,6724,44859,16920,137450,53934,5226,3933,30852,16600,110545
20605,41069,11573,7746,51221,9194,120803,35076,7049,4688,35954,8762,91529
20606,23822,6520,4669,30631,5269,70911,20421,4010,2839,21539,5023,53832
20607,32697,9334,6516,44710,7467,100724,28038,5576,3881,30524,7072,75091
20701,65308,18423,13742,101885,7857,207215,58094,11158,8244,71961,7205,156662
20702,51996,7282,4827,33956,3643,101704,48405,4820,3116,24961,3371,84673
20703,45201,9784,6727,53097,5519,120328,41052,5888,4031,37930,5191,94092
20801,33598,11746,8596,61121,5315,120376,28404,7147,5167,44275,4882,89875
20802,72185,16464,11321,66432,7774,174176,63848,10286,7106,48038,7221,136499
20803,43096,12839,9533,68158,6457,140083,37513,7902,5746,50115,5882,107158
20804,15405,4637,3324,25512,2279,51157,13586,2849,2008,18275,2132,38850
20901,41651,13975,9042,82862,6610,154140,37266,8604,5525,60114,6064,117573
20902,49153,8175,4521,36548,7642,106039,45712,5240,2867,26582,7227,87628
20903,16401,8277,5551,52162,2582,84973,13876,4979,3343,38029,2290,62517
20904,87901,15487,8997,77629,10637,200651,81439,10412,5847,58043,9995,165736
21001,26208,5694,3372,29072,2972,67318,24175,3740,2155,21447,2713,54230
21002,5804,3358,2217,22954,1195,35528,4776,1998,1329,16755,1075,25933
21003,38126,6185,3722,26909,5430,80372,35366,4195,2443,19904,5169,67077
21004,9720,4622,3053,29615,1955,48965,8230,2761,1836,21717,1764,36308
21005,81438,11749,6689,46111,10371,156358,75595,8133,4514,34660,9819,132721
21101,63379,17225,11862,91047,6521,190034,56374,10541,7239,67500,5842,147496
21102,9066,3238,2263,17590,966,33123,8022,1985,1346,12768,867,24988
21103,32898,13366,9140,75056,5013,135473,28485,8037,5515,55019,4461,101517
21104,25777,6281,4170,33874,2657,72759,23201,3778,2510,24358,2443,56290
21105,37635,20740,14190,111315,7686,191566,31699,12425,8515,81506,6887,141032
21201,19897,9650,7032,56211,4339,97129,16904,5901,4272,42051,3876,73004
21202,68274,12743,8743,56049,7209,153018,61012,7951,5406,41876,6658,122903
21203,66457,13303,9229,62589,7602,159180,59122,8209,5700,47174,6964,127169
21204,128213,8681,6424,37777,12363,193458,118357,5677,4187,28508,11686,168415
21205,100286,13009,9064,64135,8507,195001,92921,8124,5544,46738,8013,161340
21301,126034,11527,7450,39293,15454,199758,117021,7732,4925,29373,14713,173764
21302,38298,8897,5909,41066,5438,99608,34129,5635,3611,30063,5046,78484
21303,41095,6650,4398,28510,7135,87788,37633,4034,2649,20340,6827,71483
21304,56152,13655,9020,67982,9243,156052,50112,8720,5648,50660,8569,123709
21305,85877,16761,11915,79421,11850,205824,76770,10484,7334,58881,11040,164509
21401,42549,16868,11902,84378,9197,164894,36187,10315,7303,62917,8398,125120
21402,37926,18300,12642,107606,10056,186530,32034,11184,7747,80011,9135,140111
21501,5537,3400,2552,60127,4126,75742,4748,2125,1572,45846,3825,58116
21502,8495,3813,2297,47552,3642,65799,7647,2446,1448,36008,3398,50947
21503,4920,2205,1478,36047,2489,47139,4395,1422,937,27572,2299,36625
21601,3656,2352,1809,36432,2486,46735,3122,1492,1137,27725,2262,35738
21602,3735,2161,1304,26895,2055,36150,3275,1346,813,20331,1912,27677
21603,12245,4542,2770,52226,4743,76526,11123,2911,1741,39054,4410,59239
21701,3931,2408,1967,36055,2091,46452,3299,1457,1192,27379,1876,35203
21702,9010,5824,3913,85122,5390,109259,7536,3584,2428,64530,4925,83003
29797,303,100,97,699,56,1255,250,70,52,494,54,920
30101,21764,8828,6310,53083,3531,93516,17693,5362,3860,38885,3092,68892
30102,25929,9205,6544,55740,4458,101876,21211,5578,3998,40737,3985,75509
30103,21113,8024,5752,48862,3732,87483,17163,4858,3526,35349,3367,64263
30201,12071,4703,3118,29124,1664,50680,10259,2863,1864,20892,1482,37360
30202,19995,8224,5574,52386,4246,90425,16828,4970,3373,36984,3927,66082
30203,11841,4092,2810,25532,2252,46527,9886,2443,1714,18191,2049,34283
30204,16500,6021,4513,39634,3882,70550,13745,3656,2713,28474,3550,52138
30301,16437,6010,4158,34734,2118,63457,13843,3651,2484,24531,1889,46398
30302,23796,8315,5792,46557,5042,89502,20292,4969,3440,32270,4724,65695
30303,30626,7008,4863,38475,3703,84675,27239,4287,2988,27418,3430,65362
30304,14253,4410,3132,23976,2549,48320,12555,2695,1869,16832,2377,36328
30305,30437,5055,3474,24633,3490,67089,26884,3077,2173,17920,3206,53260
30306,29502,3260,2817,17653,2725,55957,26881,2014,1731,12760,2497,45883
30401,14785,3878,2740,19208,1276,41887,12706,2326,1640,13720,1154,31546
30402,18015,5782,4249,29049,1799,58894,14816,3424,2525,20477,1597,42839
30403,18803,5663,4724,32873,2894,64957,16047,3342,2739,22270,2735,47133
30404,12866,6645,4887,39289,1882,65569,10468,3952,2879,27680,1647,46626
30501,30017,6552,4715,36264,9984,87532,25711,3895,2829,24641,9729,66805
30502,12469,5027,3712,27827,2492,51527,10137,2979,2174,19446,2283,37019
30503,24796,9764,7014,59743,5026,106343,20598,5873,4237,41400,4679,76787
30504,16792,7614,5604,43048,3072,76130,13663,4499,3297,29392,2828,53679
30601,16632,6155,5329,36238,3695,68049,13461,3752,3197,26242,3370,50022
30602,28142,10127,8909,73674,12595,133447,23515,6230,5378,53421,11825,100369
30603,7285,3369,2325,31740,2508,47227,6237,2126,1461,23295,2281,35400
30604,4313,1609,1142,11332,1986,20382,3582,966,700,8372,1882,15502
30605,8695,3990,2808,33428,2991,51912,7261,2477,1735,24273,2718,38464
30701,4377,2450,2041,46764,4368,60000,3620,1545,1253,35276,4096,45790
30702,3932,2501,1931,41151,3523,53038,3228,1536,1181,30856,3314,40115
30703,5455,3046,2326,37996,2295,51118,4569,1908,1416,27894,2070,37857
30801,5421,2465,1947,31085,3916,44834,4352,1535,1221,23607,3731,34446
30802,12820,6333,4781,68273,6838,99045,10499,3870,2923,51397,6409,75098
30803,14403,8468,6445,106257,10142,145715,11996,5134,3975,79395,9508,110008
30901,21708,6786,5466,41806,6844,82610,17790,4241,3357,30806,6499,62693
30902,13859,6258,4571,42410,4386,71484,11229,3880,2820,31419,4070,53418
30903,25359,5925,4973,36120,5198,77575,21011,3689,3051,26840,4885,59476
30904,5780,2269,1819,12875,1037,23780,4594,1367,1094,9310,941,17306
30905,10761,4200,3245,21443,1717,41366,8680,2544,2005,15918,1564,30711
30906,24889,7449,5733,40032,4600,82703,20035,4583,3531,29681,4305,62135
30907,38570,11164,8577,59880,5859,124050,30885,6843,5278,44942,5368,93316
30908,21349,4861,3904,24962,3755,58831,17635,3002,2438,18392,3523,44990
30909,24459,5702,4436,31722,5397,71716,20571,3569,2774,23397,5086,55397
30910,17522,3799,3153,22939,6206,53619,14784,2394,1940,16861,6033,42012
31001,32603,5794,4202,29787,7293,79679,28730,3494,2581,21768,6922,63495
31002,8686,5219,3988,52968,4762,75623,7087,3231,2440,39096,4392,56246
31003,18411,10537,7439,84407,6743,127537,14926,6429,4573,61862,6131,93921
31004,29217,7586,5800,39894,4629,87126,24234,4598,3506,29187,4154,65679
31101,2023,1176,843,11294,973,16309,1642,722,524,8431,903,12222
31102,13328,4271,3300,25356,3333,49588,10780,2592,2029,18836,3045,37282
31103,29053,8208,6223,46224,5196,94904,24030,5028,3839,34475,4677,72049
31104,10260,4782,3718,28302,2216,49278,8362,2934,2250,21168,2004,36718
31105,21946,6642,5135,35003,3850,72576,17887,4034,3158,25877,3494,54450
31106,34108,8256,6036,43132,6323,97855,28676,5032,3706,31525,5795,74734
31201,7278,3246,2653,39127,9779,62083,5957,2020,1636,29109,9564,48286
31202,19741,9736,7325,104440,7946,149188,16290,6028,4531,76645,7188,110682
31203,5354,2138,1711,17040,2593,28836,4421,1306,1050,12570,2483,21830
31301,7736,3189,2255,24822,2127,40129,6412,2015,1426,18420,1950,30223
31302,13398,6481,5069,47807,5502,78257,10866,3979,3138,35385,5099,58467
31303,1882,1008,719,9689,1310,14608,1555,630,461,7197,1235,11078
31304,14953,6665,5039,46802,3906,77365,12155,4098,3066,34879,3518,57716
31305,17920,6558,4700,41681,4037,74896,14524,4029,2887,30499,3695,55634
31401,20950,10686,7406,67340,2970,109352,16905,6466,4415,48836,2613,79235
31402,17460,6234,4555,37836,2466,68551,14188,3775,2777,27783,2198,50721
31403,9774,4239,3085,28668,1848,47614,7909,2557,1855,20905,1646,34872
31501,4352,1980,1471,29803,3709,41315,3620,1279,947,23661,3575,33082
31502,6518,2776,2211,32839,5942,50286,5371,1699,1346,25280,5731,39427
31503,2368,1410,1155,23855,1778,30566,1956,870,705,18248,1659,23438
31601,14220,5588,4136,34834,1827,60605,11577,3412,2517,25640,1594,44740
31602,19406,8113,5801,57462,4060,94842,15845,5003,3617,42417,3694,70576
31603,15444,6154,4659,44637,4361,75255,12457,3771,2863,32867,3998,55956
31604,14009,6983,5016,48337,3908,78253,11307,4220,3075,35039,3534,57175
31605,12551,4701,3394,28603,2813,52062,10298,2891,2102,21022,2605,38918
31606,11332,5530,4083,37996,3007,61948,9148,3376,2546,27633,2726,45429
31701,21896,11702,8547,136596,9157,187898,18391,7173,5142,99667,8370,138743
31801,6655,3700,2405,44534,2975,60269,5825,2430,1508,32442,2727,44932
31802,34878,18192,13679,157059,15204,239012,28800,11102,8317,114415,14186,176820
31901,14312,7732,5279,79700,6084,113107,12092,4812,3256,59272,5609,85041
31902,6609,3797,2710,46726,3189,63031,5474,2359,1685,34996,2923,47437
31903,7273,4255,3111,43037,3324,61000,5990,2630,1941,32010,3099,45670
31904,12935,5403,3886,45829,3501,71554,10777,3326,2404,34216,3183,53906
31905,6216,3717,2713,41349,3611,57606,5129,2297,1683,30388,3332,42829
39797,983,304,228,2247,1218,4980,825,188,144,1613,1194,3964
40101,11498,2139,1544,12122,4004,31307,10236,1305,937,8448,3920,24846
40102,17060,9042,6336,55416,2908,90762,14070,5321,3801,40602,2589,66383
40103,16406,4913,3580,27526,2189,54614,14453,3016,2141,19941,2017,41568
40104,24830,5076,2923,24472,2131,59432,22736,3280,1845,18092,1987,47940
40105,14897,4040,2722,20920,2048,44627,13354,2499,1642,15023,1870,34388
40106,10887,3146,2134,17040,1501,34708,9748,1940,1293,12389,1377,26747
40107,12559,4753,3038,25914,2317,48581,11025,2844,1814,18493,2180,36356
40201,8795,3790,3045,23646,1866,41142,7561,2277,1851,17824,1659,31172
40202,27639,10042,7894,52057,6071,103703,23854,6139,4814,39012,5551,79370
40203,27985,6094,4122,33040,4714,75955,25443,3774,2506,24394,4469,60586
40204,54146,13959,10264,73376,8953,160698,48360,8648,6273,54924,8236,126441
40205,33696,11859,8452,60299,4082,118388,29235,7221,5129,44721,3622,89928
40301,10771,3653,2404,24343,2415,43586,9203,2216,1485,17839,2281,33024
40302,30000,9275,6647,57594,4409,107925,26424,5644,4046,42660,3998,82772
40303,20086,7981,5551,45621,2532,81771,17339,4795,3356,33228,2275,60993
40304,51944,20369,15139,113153,8757,209362,44143,12265,9082,84406,7823,157719
40401,44066,10859,6615,59761,6179,127480,39956,6977,4110,44300,5677,101020
40402,23745,5919,3890,33350,4134,71038,21235,3666,2350,24875,3801,55927
40403,24407,6093,4010,34753,3619,72882,22224,3872,2475,25543,3370,57484
40501,6239,3320,2647,29823,1509,43538,5235,1990,1569,22539,1374,32707
40502,3145,1615,1421,21406,1183,28770,2635,976,840,16252,1068,21771
40503,3326,1921,1424,26702,1623,34996,2918,1213,870,20628,1457,27086
40504,3279,1644,1336,22861,1167,30287,2802,1031,831,17871,1070,23605
40601,10682,5254,3871,49948,4143,73898,9041,3243,2357,38102,3803,56546
40602,5000,2485,1622,28174,4149,41430,4261,1489,996,21836,3963,32545
40701,11039,4515,3362,37767,2709,59392,9422,2752,2040,28379,2484,45077
40702,9131,4720,3498,59788,3374,80511,7841,2904,2131,45815,3035,61726
40703,11149,4981,3675,62230,5331,87366,9806,3073,2279,47087,4985,67230
49797,44,10,17,93,53,217,36,7,6,65,54,168
50101,11617,6088,4476,30344,3037,55562,9538,3728,2687,22336,2814,41103
50102,26908,11817,8918,68277,7616,123536,22336,7339,5392,50900,7000,92967
50103,6222,2984,2163,16080,1217,28666,5154,1852,1322,11756,1086,21170
50201,28068,10366,7905,51651,6555,104545,23369,6408,4859,39002,6007,79645
50301,27675,9388,7134,37532,4499,86228,22997,5637,4265,26927,4221,64047
50302,50443,12476,8734,43959,11054,126666,42933,7468,5159,30897,10679,97136
50401,41163,9940,6725,33496,5311,96635,35647,6095,4058,24292,4900,74992
50402,14932,6143,4441,23463,3913,52892,12144,3692,2648,17282,3697,39463
50403,47684,13935,10643,52562,7912,132736,40578,8468,6461,38945,7277,101729
50501,82672,20168,15609,70674,7114,196237,68982,12087,9303,52474,6436,149282
50502,93702,22408,15598,79780,13390,224878,81599,13918,9495,58177,12607,175796
50503,87632,18428,14153,60015,10489,190717,74855,11226,8581,44686,9673,149021
50601,28040,9164,7249,31224,4911,80588,23563,5513,4325,23126,4538,61065
50602,33971,7573,5553,28136,6251,81484,29604,4561,3311,20528,5965,63969
50603,54104,9223,6957,32735,5704,108723,48035,5541,4178,24128,5429,87311
50604,57033,12827,9682,44603,8978,133123,49689,7757,5838,33261,8420,104965
50605,22806,7924,5701,30233,3387,70051,18894,4770,3416,22301,3086,52467
50606,6368,2666,2177,10587,1207,23005,5297,1606,1336,7934,1104,17277
50607,20187,4950,3922,20609,3162,52830,17318,2979,2353,14790,3016,40456
50701,42185,12065,8533,43571,5207,111561,36251,7484,5172,31972,4751,85630
50702,15252,5213,3683,18914,3004,46066,12624,3146,2154,13423,2789,34136
50703,12310,4080,3065,15010,3373,37838,10113,2421,1852,11099,3181,28666
50704,48410,13276,9782,49810,5095,126373,41595,8028,5862,36381,4677,96543
50705,47387,14359,11468,53445,7275,133934,39567,8657,6855,39625,6663,101367
50801,3280,1879,1357,12497,1359,20372,2701,1160,822,9557,1262,15502
50802,4039,1628,1225,11107,1599,19598,3463,1047,766,8680,1539,15495
50803,14214,4306,3343,30388,7151,59402,11409,2614,2004,23267,6896,46190
50804,8714,4125,2825,38154,6911,60729,7239,2560,1725,30509,6671,48704
50805,12974,6144,4783,45963,5390,75254,10715,3796,2897,34904,5055,57367
50806,23475,7123,5679,46068,18445,100790,19101,4349,3456,34804,18141,79851
50901,15309,7134,5794,40137,3462,71836,12782,4421,3503,29802,3159,53667
50902,13132,6198,4862,40337,4404,68933,10947,3844,2980,30770,4095,52636
50903,4296,2285,1965,16884,1794,27224,3551,1411,1199,12934,1683,20778
59797,1015,296,253,1632,573,3769,828,177,147,1179,559,2890
60101,1295,950,521,15699,1367,19832,1058,584,323,12562,1286,15813
60102,7032,4642,2954,44980,3211,62819,5887,2841,1782,34852,2975,48337
60103,7468,4183,2396,47070,3284,64401,6561,2526,1489,36847,3008,50431
60104,7723,3763,2744,25086,1450,40766,6432,2218,1608,18726,1280,30264
60105,14534,6663,4511,38058,3559,67325,12277,3946,2661,27444,3325,49653
60106,1942,1350,856,13827,881,18856,1590,805,532,10735,797,14459
60201,12887,7228,5109,72300,4910,102434,11071,4377,3061,55767,4457,78733
60202,3719,1765,1349,19876,1209,27918,3071,1068,811,15433,1117,21500
60203,4899,2614,1817,34123,2154,45607,4080,1612,1132,26832,1943,35599
60301,1233,683,424,10787,840,13967,1004,431,251,8612,780,11078
60302,3773,1720,1296,15508,895,23192,3094,1020,771,11710,784,17379
60303,999,471,352,5902,418,8142,827,292,205,4537,389,6250
60401,5643,3223,2274,45493,2940,59573,4773,1975,1382,35745,2712,46587
60402,5342,2964,2037,40945,2537,53825,4510,1814,1267,32127,2302,42020
60403,2462,1283,869,17661,1183,23458,2016,795,545,13726,1088,18170
69797,162,56,32,428,77,755,126,35,24,312,74,571
70101,8688,2774,2177,17302,4287,35228,7397,1676,1308,12476,4136,26993
70102,19196,5400,4541,31527,7664,68328,16650,3297,2791,22971,7376,53085
70103,3911,2065,1782,15447,2876,26081,3250,1263,1053,11645,2751,19962
70104,6455,3046,2701,21501,3001,36704,5321,1858,1602,15736,2831,27348
70201,8699,2901,2226,30571,4862,49259,7228,1763,1343,24731,4705,39770
70202,745,288,191,5338,846,7408,617,182,121,4708,829,6457
70203,1923,732,602,16412,1213,20882,1650,467,367,14756,1180,18420
70204,1707,671,644,13291,776,17089,1426,418,387,11674,751,14656
70205,2435,1170,973,18686,2002,25266,2045,730,594,15725,1920,21014
79797,153,50,40,380,113,736,118,34,28,254,109,543
80101,31610,11257,8701,65233,5651,122452,27578,6657,5094,46343,5266,90938
80102,200,118,119,652,60,1149,162,80,68,468,53,831
80103,300,170,129,1197,502,2298,249,97,80,877,496,1799
80104,20147,5268,4377,29149,1989,60930,18036,3211,2586,21161,1823,46817
80105,19295,6684,5566,32978,4737,69260,16432,3886,3207,22454,4492,50471
80106,8709,3420,2732,18134,2128,35123,7333,1996,1583,12492,2024,25428
80107,25662,11535,8477,66484,3864,116022,21880,6906,5040,48118,3440,85384
80108,6948,3133,2432,17361,964,30838,5876,1829,1426,12200,871,22202
80109,13039,4290,3243,22620,1578,44770,11314,2534,1906,15818,1447,33019
89797,0,0,0,0,0,0,0,0,0,0,0,0
90101,940,163,150,641,866,2760,855,103,114,443,863,2378
90102,125,59,25,455,53,717,103,48,22,395,55,623
90103,59,31,45,396,27,558,44,25,20,332,24,445
99797,0,0,0,0,0,0,0,0,0,0,0,0
