region_id,Other_type_of_Educational_Institution_Part_time_student_2001_Census_Persons,Other_type_of_Educational_Institution_Part_time_student_2006_Census_Males,Other_type_of_Educational_Institution_Part_time_student_2006_Census_Females,Other_type_of_Educational_Institution_Part_time_student_2006_Census_Persons,Other_type_of_Educational_Institution_Part_time_student_2011_Census_Males,Other_type_of_Educational_Institution_Part_time_student_2011_Census_Females,Other_type_of_Educational_Institution_Part_time_student_2011_Census_Persons,Other_type_of_Educational_Institution_Full_Part_time_student_status_not_stated_2001_Census_Males,Other_type_of_Educational_Institution_Full_Part_time_student_status_not_stated_2001_Census_Females,Other_type_of_Educational_Institution_Full_Part_time_student_status_not_stated_2001_Census_Persons,Other_type_of_Educational_Institution_Full_Part_time_student_status_not_stated_2006_Census_Males,Other_type_of_Educational_Institution_Full_Part_time_student_status_not_stated_2006_Census_Females,Other_type_of_Educational_Institution_Full_Part_time_student_status_not_stated_2006_Census_Persons,Other_type_of_Educational_Institution_Full_Part_time_student_status_not_stated_2011_Census_Males,Other_type_of_Educational_Institution_Full_Part_time_student_status_not_stated_2011_Census_Females,Other_type_of_Educational_Institution_Full_Part_time_student_status_not_stated_2011_Census_Persons,Other_type_of_Educational_Institution_Total_2001_Census_Males,Other_type_of_Educational_Institution_Total_2001_Census_Females,Other_type_of_Educational_Institution_Total_2001_Census_Persons,Other_type_of_Educational_Institution_Total_2006_Census_Males,Other_type_of_Educational_Institution_Total_2006_Census_Females,Other_type_of_Educational_Institution_Total_2006_Census_Persons,Other_type_of_Educational_Institution_Total_2011_Census_Males,Other_type_of_Educational_Institution_Total_2011_Census_Females,Other_type_of_Educational_Institution_Total_2011_Census_Persons,Type_of_educational_institution_not_stated_2001_Census_Males,Type_of_educational_institution_not_stated_2001_Census_Females,Type_of_educational_institution_not_stated_2001_Census_Persons,Type_of_educational_institution_not_stated_2006_Census_Males,Type_of_educational_institution_not_stated_2006_Census_Females,Type_of_educational_institution_not_stated_2006_Census_Persons,Type_of_educational_institution_not_stated_2011_Census_Males,Type_of_educational_institution_not_stated_2011_Census_Females,Type_of_educational_institution_not_stated_2011_Census_Persons,Overseas_visitors_2001_Census_Males,Overseas_visitors_2001_Census_Females,Overseas_visitors_2001_Census_Persons,Overseas_visitors_2006_Census_Males,Overseas_visitors_2006_Census_Females,Overseas_visitors_2006_Census_Persons,Overseas_visitors_2011_Census_Males,Overseas_visitors_2011_Census_Females,Overseas_visitors_2011_Census_Persons,Total_2001_Census_Males,Total_2001_Census_Females,Total_2001_Census_Persons,Total_2006_Census_Males,Total_2006_Census_Females,Total_2006_Census_Persons,Total_2011_Census_Males,Total_2011_Census_Females,Total_2011_Census_Persons
10101,253,56,171,227,89,141,230,5,0,5,0,6,6,3,3,6,160,219,379,168,243,411,133,190,323,2013,1500,3513,2643,2096,4739,2604,2167,4771,75,87,162,95,85,180,77,90,167,9640,9282,18922,10400,9796,20196,9952,9826,19778
10102,248,89,170,259,95,183,278,0,0,0,3,3,6,0,0,0,127,190,317,118,202,320,133,214,347,975,924,1899,2072,1804,3876,1890,1583,3473,133,127,260,87,87,174,97,120,217,6783,7004,13787,8149,8066,16215,8443,8581,17024
10103,163,41,97,138,35,86,121,0,0,0,3,3,6,0,3,3,79,127,206,57,118,175,57,106,163,1322,1058,2380,2364,1714,4078,2258,1450,3708,282,272,554,269,271,540,274,228,502,5754,5038,10792,6313,5430,11743,6067,5070,11137
10104,251,57,177,234,74,199,273,4,4,8,0,4,4,5,4,9,123,203,326,78,203,281,104,236,340,1299,1436,2735,2111,2223,4334,2269,2359,4628,87,120,207,101,100,201,113,135,248,8210,8752,16962,8500,9211,17711,8493,9222,17715
10201,892,225,491,716,245,560,805,8,10,18,16,17,33,7,7,14,387,697,1084,303,627,930,345,695,1040,3123,3365,6488,6628,7231,13859,5239,5588,10827,245,373,618,266,422,688,234,316,550,22011,22732,44743,24363,25604,49967,23478,25193,48671
10202,600,129,410,539,184,413,597,3,5,8,9,13,22,8,14,22,234,506,740,183,494,677,248,529,777,2502,2871,5373,4901,5511,10412,4656,5083,9739,134,175,309,114,155,269,118,152,270,17957,18524,36481,20061,21399,41460,21010,22729,43739
10301,157,39,82,121,38,99,137,4,4,8,3,3,6,0,5,5,61,137,198,48,94,142,52,120,172,1450,839,2289,2004,1250,3254,2157,1436,3593,83,123,206,64,96,160,80,115,195,7310,7108,14418,7855,7309,15164,8116,7581,15697
10302,173,29,98,127,35,93,128,4,3,7,6,4,10,0,4,4,84,140,224,56,128,184,54,117,171,1067,1022,2089,1839,1794,3633,2006,1927,3933,48,56,104,73,52,125,99,79,178,7972,8055,16027,7927,8105,16032,7665,8030,15695
10303,177,40,90,130,39,96,135,5,3,8,3,3,6,3,3,6,79,145,224,55,109,164,54,120,174,1307,938,2245,1932,1523,3455,2134,1507,3641,35,39,74,39,57,96,42,68,110,6391,6274,12665,6523,6120,12643,6513,6091,12604
10304,151,34,93,127,67,115,182,3,3,6,4,3,7,3,0,3,57,127,184,59,124,183,85,138,223,854,855,1709,1733,1710,3443,1968,1774,3742,46,73,119,41,30,71,78,75,153,7368,7649,15017,7659,7991,15650,8271,8656,16927
10401,177,40,134,174,67,109,176,3,0,3,3,4,7,0,5,5,88,145,233,63,158,221,91,136,227,1026,811,1837,1831,1531,3362,1710,1547,3257,74,97,171,66,74,140,61,65,126,6585,6433,13018,6869,6828,13697,6646,6953,13599
10402,388,97,279,376,101,242,343,3,4,7,6,5,11,0,6,6,164,330,494,136,331,467,141,327,468,1349,1394,2743,2670,2722,5392,2563,2600,5163,231,263,494,211,265,476,251,314,565,10938,11486,22424,11852,12644,24496,11743,12848,24591
