region_id,2011_Census_Total_Family_households_Total,2011_Census_Total_Lone_person_household,2011_Census_Total_Group_household,2011_Census_Total_Other_household,2011_Census_Total_Total
10101,17913,6802,533,1089,26337
10102,13957,4889,510,1170,20526
10103,4653,2086,212,1512,8463
10104,18765,7638,673,1780,28856
10201,43053,16725,1715,2636,64129
10202,39552,14634,1525,1926,57637
10301,10894,4057,581,745,16277
10302,14417,6234,452,1155,22258
10303,11466,4808,408,948,17630
10304,13991,5254,534,982,20761
10401,13293,5270,518,1232,20313
10402,21814,8371,1077,1781,33043
10501,6083,3008,245,1248,10584
10502,5412,2841,174,845,9272
10503,17262,6659,671,1172,25764
10601,21739,6700,719,1305,30463
10602,17477,4947,544,668,23636
10603,18390,6170,564,1374,26498
10604,7593,2842,339,729,11503
10701,19363,6042,517,758,26680
10702,0,3,0,0,3
10703,23050,6277,501,827,30655
10704,30797,12541,2510,1883,47731
10801,8210,3802,329,819,13160
10802,12353,5383,512,1140,19388
10803,87,40,8,11,146
10804,20284,8021,764,1394,30463
10805,14030,5592,513,861,20996
10901,14773,6487,901,948,23109
10902,3306,1271,93,481,5151
10903,10931,4744,340,863,16878
11001,8927,3613,511,720,13771
11002,10033,4325,335,617,15310
11003,6453,2525,221,885,10084
11004,20364,7778,792,1252,30186
11101,32359,10769,1025,1115,45268
11102,19086,5918,608,619,26231
11103,39308,17897,3936,2549,63690
11201,19334,8015,1442,2262,31053
11202,18097,7257,1055,1047,27456
11203,22820,9570,1266,2222,35878
11301,11770,4317,381,1029,17497
11302,3817,1589,97,265,5768
11303,22963,8704,1201,1032,33900
11401,25060,9946,865,1797,37668
11402,12060,4329,316,638,17343
11501,36248,5010,608,784,42650
11502,6668,1249,123,236,8276
11503,6263,1161,123,461,8008
11504,7011,889,125,256,8281
11601,32560,7760,1026,1175,42521
11602,19330,2718,457,493,22998
11603,25207,4779,634,1107,31727
11701,9974,3464,681,766,14885
11702,11936,5468,2018,1285,20707
