region_id,2011_Census_100_149_Landlord_type_Other_landlord_type,2011_Census_100_149_Landlord_type_Not_stated,2011_Census_100_149_Total,2011_Census_150_199_Landlord_type_Real_estate_agent,2011_Census_150_199_Landlord_type_State_territory_housing_authority,2011_Census_150_199_Landlord_type_Person_not_in_the_same_household,2011_Census_150_199_Landlord_type_Housing_co_operative_community_church_group,2011_Census_150_199_Landlord_type_Other_landlord_type,2011_Census_150_199_Landlord_type_Not_stated,2011_Census_150_199_Total,2011_Census_200_224_Landlord_type_Real_estate_agent,2011_Census_200_224_Landlord_type_State_territory_housing_authority,2011_Census_200_224_Landlord_type_Person_not_in_the_same_household,2011_Census_200_224_Landlord_type_Housing_co_operative_community_church_group,2011_Census_200_224_Landlord_type_Other_landlord_type,2011_Census_200_224_Landlord_type_Not_stated,2011_Census_200_224_Total,2011_Census_225_274_Landlord_type_Real_estate_agent,2011_Census_225_274_Landlord_type_State_territory_housing_authority,2011_Census_225_274_Landlord_type_Person_not_in_the_same_household,2011_Census_225_274_Landlord_type_Housing_co_operative_community_church_group,2011_Census_225_274_Landlord_type_Other_landlord_type,2011_Census_225_274_Landlord_type_Not_stated,2011_Census_225_274_Total,2011_Census_275_349_Landlord_type_Real_estate_agent,2011_Census_275_349_Landlord_type_State_territory_housing_authority,2011_Census_275_349_Landlord_type_Person_not_in_the_same_household,2011_Census_275_349_Landlord_type_Housing_co_operative_community_church_group,2011_Census_275_349_Landlord_type_Other_landlord_type,2011_Census_275_349_Landlord_type_Not_stated,2011_Census_275_349_Total,2011_Census_350_449_Landlord_type_Real_estate_agent,2011_Census_350_449_Landlord_type_State_territory_housing_authority,2011_Census_350_449_Landlord_type_Person_not_in_the_same_household,2011_Census_350_449_Landlord_type_Housing_co_operative_community_church_group,2011_Census_350_449_Landlord_type_Other_landlord_type,2011_Census_350_449_Landlord_type_Not_stated,2011_Census_350_449_Total,2011_Census_450_549_Landlord_type_Real_estate_agent,2011_Census_450_549_Landlord_type_State_territory_housing_authority,2011_Census_450_549_Landlord_type_Person_not_in_the_same_household,2011_Census_450_549_Landlord_type_Housing_co_operative_community_church_group,2011_Census_450_549_Landlord_type_Other_landlord_type,2011_Census_450_549_Landlord_type_Not_stated,2011_Census_450_549_Total,2011_Census_550_649_Landlord_type_Real_estate_agent,2011_Census_550_649_Landlord_type_State_territory_housing_authority,2011_Census_550_649_Landlord_type_Person_not_in_the_same_household,2011_Census_550_649_Landlord_type_Housing_co_operative_community_church_group,2011_Census_550_649_Landlord_type_Other_landlord_type,2011_Census_550_649_Landlord_type_Not_stated,2011_Census_550_649_Total,2011_Census_650_and_over_Landlord_type_Real_estate_agent,2011_Census_650_and_over_Landlord_type_State_territory_housing_authority,2011_Census_650_and_over_Landlord_type_Person_not_in_the_same_household,2011_Census_650_and_over_Landlord_type_Housing_co_operative_community_church_group,2011_Census_650_and_over_Landlord_type_Other_landlord_type,2011_Census_650_and_over_Landlord_type_Not_stated,2011_Census_650_and_over_Total,2011_Census_Rent_not_stated_Landlord_type_Real_estate_agent,2011_Census_Rent_not_stated_Landlord_type_State_territory_housing_authority,2011_Census_Rent_not_stated_Landlord_type_Person_not_in_the_same_household,2011_Census_Rent_not_stated_Landlord_type_Housing_co_operative_community_church_group,2011_Census_Rent_not_stated_Landlord_type_Other_landlord_type,2011_Census_Rent_not_stated_Landlord_type_Not_stated,2011_Census_Rent_not_stated_Total,2011_Census_Total_Landlord_type_Real_estate_agent,2011_Census_Total_Landlord_type_State_territory_housing_authority,2011_Census_Total_Landlord_type_Person_not_in_the_same_household,2011_Census_Total_Landlord_type_Housing_co_operative_community_church_group,2011_Census_Total_Landlord_type_Other_landlord_type,2011_Census_Total_Landlord_type_Not_stated,2011_Census_Total_Total
10101,78,12,919,699,156,379,26,66,6,1332,427,65,232,3,18,3,748,611,17,201,7,32,3,871,447,7,143,3,15,3,618,122,3,81,0,15,0,221,39,3,33,0,8,0,83,17,0,8,0,4,0,29,12,0,28,0,7,3,50,35,40,99,16,60,11,261,2749,787,1776,172,510,283,6277
10102,13,3,307,240,99,121,17,44,4,525,264,31,87,6,62,0,450,394,40,130,8,131,4,707,608,74,217,5,127,5,1036,682,36,254,0,49,4,1025,293,3,99,0,22,0,417,115,0,41,0,6,0,162,69,3,18,0,3,3,96,45,45,49,5,39,5,188,2767,703,1203,93,541,119,5426
10103,34,3,296,146,38,117,8,24,3,336,110,0,70,4,14,0,198,168,10,59,0,6,0,243,111,0,38,0,11,3,163,71,0,26,0,5,0,102,20,0,10,3,8,0,41,24,0,9,0,5,0,38,117,3,40,3,30,3,196,28,3,41,7,25,0,104,934,118,631,40,222,96,2041
10104,51,9,746,630,108,432,35,57,17,1279,514,58,297,14,32,3,918,932,72,362,12,29,3,1410,789,17,227,3,22,5,1063,254,3,61,3,16,3,340,25,0,15,0,8,0,48,4,0,5,0,4,0,13,26,0,22,3,15,0,66,54,46,95,16,51,8,270,3384,764,1983,229,394,236,6990
10201,99,14,966,576,238,333,63,79,13,1302,524,78,356,31,65,14,1068,1692,125,539,29,39,13,2437,3396,115,747,6,54,19,4337,2300,11,467,3,24,3,2808,656,3,105,0,6,3,773,187,0,43,0,0,0,230,143,5,35,3,6,0,192,136,131,121,30,33,35,486,9759,2000,3161,353,468,331,16072
10202,175,11,957,634,280,409,84,155,20,1582,732,85,434,19,58,7,1335,2337,102,708,30,64,17,3258,3501,70,759,19,66,21,4436,1712,11,294,4,29,8,2058,253,3,51,0,10,5,322,68,0,23,0,5,0,96,57,5,28,5,11,0,106,143,104,127,25,50,33,482,9598,1763,3232,318,665,316,15892
10301,33,5,521,433,122,172,13,10,6,756,355,50,164,5,16,0,590,674,12,158,4,11,3,862,589,5,114,3,4,5,720,284,0,50,0,0,0,334,31,3,6,0,0,0,40,6,0,0,0,0,0,6,10,4,8,0,0,0,22,42,34,38,7,28,4,153,2641,600,958,81,170,125,4575
10302,111,25,1423,796,135,449,19,78,9,1486,245,10,141,4,18,0,418,246,8,75,3,32,0,364,119,5,31,0,17,0,172,29,4,12,0,8,0,53,4,0,4,0,7,0,15,0,3,0,0,0,0,3,12,0,26,0,3,0,41,41,47,93,10,75,11,277,2089,798,1687,236,601,299,5710
10303,34,8,637,534,166,228,9,49,8,994,316,79,129,8,24,3,559,436,39,95,6,8,3,587,320,6,67,0,10,3,406,183,0,38,0,7,0,228,39,0,11,0,0,0,50,3,0,3,0,0,0,6,16,3,19,0,6,0,44,41,35,54,3,37,3,173,2116,707,1029,56,271,179,4358
10304,34,11,612,596,218,209,22,22,5,1072,351,63,145,5,12,0,576,743,39,158,3,14,4,961,740,6,123,0,17,0,886,430,6,57,0,7,4,504,118,0,12,3,13,0,146,23,0,9,0,5,0,37,56,3,10,0,11,0,80,81,78,71,14,51,10,305,3329,973,1080,137,258,161,5938
10401,61,10,538,378,74,342,35,42,6,877,327,26,207,6,31,5,602,695,18,252,9,27,10,1011,706,7,164,3,20,3,903,184,3,33,0,5,0,225,37,0,9,3,3,0,52,9,0,3,0,3,0,15,28,3,15,0,8,0,54,44,35,46,5,24,3,157,2519,431,1401,170,301,162,4984
10402,106,16,759,493,173,367,55,82,11,1181,515,60,287,21,39,9,931,976,100,413,22,67,8,1586,1599,32,503,10,51,10,2205,1114,8,246,3,36,6,1413,218,3,39,0,8,0,268,39,3,5,0,8,0,55,39,4,21,0,24,0,88,75,99,71,32,50,29,356,5177,1258,2389,266,545,259,9894
