region_id,2011_Census_350_449_Couple_family_With_children_under_15_and_no_dependent_students,2011_Census_350_449_Couple_family_With_no_children_under_15_and_dependent_students,2011_Census_350_449_Couple_family_With_non_dependent_children_only,2011_Census_350_449_Couple_family_Total,2011_Census_450_549_Couple_family_With_no_children,2011_Census_450_549_Couple_family_With_children_under_15_and_dependent_students,2011_Census_450_549_Couple_family_With_children_under_15_and_no_dependent_students,2011_Census_450_549_Couple_family_With_no_children_under_15_and_dependent_students,2011_Census_450_549_Couple_family_With_non_dependent_children_only,2011_Census_450_549_Couple_family_Total,2011_Census_550_649_Couple_family_With_no_children,2011_Census_550_649_Couple_family_With_children_under_15_and_dependent_students,2011_Census_550_649_Couple_family_With_children_under_15_and_no_dependent_students,2011_Census_550_649_Couple_family_With_no_children_under_15_and_dependent_students,2011_Census_550_649_Couple_family_With_non_dependent_children_only,2011_Census_550_649_Couple_family_Total,2011_Census_650_and_over_Couple_family_With_no_children,2011_Census_650_and_over_Couple_family_With_children_under_15_and_dependent_students,2011_Census_650_and_over_Couple_family_With_children_under_15_and_no_dependent_students,2011_Census_650_and_over_Couple_family_With_no_children_under_15_and_dependent_students,2011_Census_650_and_over_Couple_family_With_non_dependent_children_only,2011_Census_650_and_over_Couple_family_Total,2011_Census_Rent_not_stated_Couple_family_With_no_children,2011_Census_Rent_not_stated_Couple_family_With_children_under_15_and_dependent_students,2011_Census_Rent_not_stated_Couple_family_With_children_under_15_and_no_dependent_students,2011_Census_Rent_not_stated_Couple_family_With_no_children_under_15_and_dependent_students,2011_Census_Rent_not_stated_Couple_family_With_non_dependent_children_only,2011_Census_Rent_not_stated_Couple_family_Total,2011_Census_Total_Couple_family_With_no_children,2011_Census_Total_Couple_family_With_children_under_15_and_dependent_students,2011_Census_Total_Couple_family_With_children_under_15_and_no_dependent_students,2011_Census_Total_Couple_family_With_no_children_under_15_and_dependent_students,2011_Census_Total_Couple_family_With_non_dependent_children_only,2011_Census_Total_Couple_family_Total
10101,79,9,8,146,26,0,21,4,6,57,3,3,12,0,3,21,9,0,4,3,0,16,39,5,32,4,6,86,994,156,1003,101,139,2393
10102,245,13,27,549,79,26,121,15,18,259,30,6,69,8,10,123,15,5,41,3,4,68,23,3,26,3,8,63,999,122,1031,80,112,2344
10103,22,3,0,48,0,0,3,0,0,3,3,3,0,0,0,6,4,0,5,5,0,14,12,0,18,0,0,30,290,36,298,21,17,662
10104,93,17,8,222,8,5,11,0,0,24,0,0,0,0,0,0,10,0,6,0,3,19,29,3,31,3,7,73,1195,151,1018,99,153,2616
10201,765,77,127,1614,151,61,239,26,47,524,31,26,70,20,16,163,41,17,44,11,6,119,63,3,54,11,7,138,2696,404,2516,261,392,6269
10202,577,69,113,1216,52,33,99,3,21,208,16,9,34,3,4,66,15,3,19,0,3,40,72,10,42,9,9,142,2430,451,2515,238,465,6099
10301,108,3,8,200,3,3,14,3,0,23,0,0,3,3,0,6,6,0,0,0,0,6,16,3,13,0,3,35,694,102,757,58,82,1693
10302,19,4,0,32,3,3,0,3,0,9,0,0,0,0,0,0,5,0,9,0,0,14,40,8,41,3,4,96,889,125,874,71,92,2051
10303,89,10,5,155,12,3,14,0,3,32,0,3,3,0,0,6,6,0,9,0,0,15,29,3,25,0,8,65,669,117,706,64,94,1650
10304,183,14,12,339,12,7,59,7,3,88,5,3,13,0,0,21,5,0,11,0,0,16,36,7,32,0,0,75,888,147,1059,87,123,2304
10401,60,6,5,119,6,4,7,0,0,17,0,0,3,0,0,3,3,0,3,0,3,9,18,0,13,0,4,35,716,103,704,54,100,1677
10402,412,56,32,795,44,18,95,4,13,174,3,3,23,3,3,35,10,0,6,5,3,24,38,5,40,4,3,90,1474,252,1535,151,178,3590
10501,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,14,41,4,51,0,5,101,552,75,659,46,79,1411
10502,8,0,0,12,0,3,4,0,0,7,0,0,0,0,0,0,3,0,0,0,0,3,18,0,11,3,0,32,307,31,277,12,31,658
10503,83,5,11,166,3,0,6,0,0,9,0,0,3,0,0,3,9,0,7,0,3,19,47,9,39,3,8,106,1111,172,1099,87,128,2597
10601,306,13,22,547,29,8,43,6,4,90,8,0,9,0,0,17,15,0,6,0,0,21,39,4,36,7,10,96,1202,168,1378,102,202,3052
10602,378,27,35,664,30,11,71,3,8,123,0,0,7,3,4,14,4,0,6,0,0,10,24,3,23,3,4,57,998,171,1200,103,171,2643
10603,271,33,30,561,33,11,67,0,5,116,5,0,16,6,3,30,10,3,21,0,3,37,42,5,39,3,3,92,1284,213,1442,122,191,3252
10604,158,7,4,259,9,3,19,3,0,34,0,0,3,0,0,3,6,0,5,0,0,11,29,12,33,6,0,80,613,87,731,47,79,1557
10701,167,21,26,338,9,9,44,7,8,77,5,0,10,0,0,15,11,0,3,0,0,14,34,3,25,8,10,80,984,153,951,112,204,2404
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10703,411,45,54,805,44,35,107,18,19,223,7,0,33,4,0,44,11,5,14,0,0,30,35,5,23,0,4,67,1230,251,1284,152,249,3166
10704,499,56,38,1144,166,42,203,17,24,452,49,6,72,13,10,150,30,13,36,7,6,92,74,8,32,4,10,128,2583,236,1794,224,277,5114
10801,61,8,11,131,3,0,11,0,0,14,0,0,4,0,0,4,5,0,0,0,0,5,21,3,13,5,0,42,551,74,437,56,67,1185
10802,34,3,0,66,0,3,4,0,0,7,3,0,0,0,0,3,3,0,0,0,3,6,14,4,22,4,0,44,705,108,626,54,92,1585
10803,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,19,0,0,29
10804,369,33,33,697,38,22,65,8,4,137,6,3,11,0,3,23,9,0,13,4,0,26,43,3,23,5,9,83,1317,204,1269,131,161,3082
10805,57,6,5,108,0,0,5,3,3,11,0,0,0,0,0,0,13,0,0,4,0,17,25,5,23,0,5,58,852,137,754,81,123,1947
10901,91,13,7,171,8,5,22,0,3,38,4,0,12,0,0,16,3,0,6,0,3,12,28,0,28,7,6,69,1061,105,906,83,86,2241
10902,3,3,3,12,0,0,3,0,0,3,0,0,0,3,0,3,9,0,0,0,0,9,8,0,12,0,0,20,259,25,235,18,29,566
10903,20,3,0,38,6,0,0,0,0,6,0,0,0,0,0,0,4,0,6,0,0,10,25,3,31,3,5,67,712,79,566,51,55,1463
11001,88,10,7,162,0,3,11,3,0,17,0,0,3,0,0,3,3,0,4,0,0,7,26,5,24,0,3,58,679,96,653,51,77,1556
11002,17,0,0,24,0,0,3,0,0,3,0,0,0,0,0,0,4,0,4,0,3,11,20,3,23,6,5,57,605,93,600,56,75,1429
11003,33,0,0,54,3,0,5,0,0,8,0,0,0,0,0,0,3,3,0,3,0,9,28,5,37,6,0,76,560,99,624,54,77,1414
11004,154,17,14,282,14,3,16,0,0,33,0,5,0,0,0,5,10,3,3,3,3,22,70,11,47,9,7,144,1385,184,1421,124,197,3311
11101,371,48,60,837,63,34,138,27,21,283,18,6,26,8,3,61,18,3,22,4,3,50,28,6,20,0,11,65,1685,240,1492,169,304,3890
11102,192,21,30,444,36,12,58,8,13,127,3,0,5,0,0,8,12,0,7,0,0,19,26,6,16,4,5,57,1029,165,987,105,188,2474
11103,616,44,47,1475,190,24,178,13,23,428,75,13,73,7,7,175,49,9,65,13,4,140,109,9,46,6,16,186,3513,258,2339,198,278,6586
11201,498,44,56,1050,105,25,174,21,11,336,37,15,66,7,3,128,22,10,43,3,3,81,27,5,34,0,5,71,1432,206,1347,129,166,3280
