region_id,2011_Census_All_incomes_not_stated_Rent_100_149,2011_Census_All_incomes_not_stated_Rent_150_199,2011_Census_All_incomes_not_stated_Rent_200_224,2011_Census_All_incomes_not_stated_Rent_225_274,2011_Census_All_incomes_not_stated_Rent_275_349,2011_Census_All_incomes_not_stated_Rent_350_449,2011_Census_All_incomes_not_stated_Rent_450_549,2011_Census_All_incomes_not_stated_Rent_550_649,2011_Census_All_incomes_not_stated_Rent_650_or_more,2011_Census_All_incomes_not_stated_Rent_Not_stated,2011_Census_All_incomes_not_stated_Rent_Total,2011_Census_Total_Rent_0_74,2011_Census_Total_Rent_75_99,2011_Census_Total_Rent_100_149,2011_Census_Total_Rent_150_199,2011_Census_Total_Rent_200_224,2011_Census_Total_Rent_225_274,2011_Census_Total_Rent_275_349,2011_Census_Total_Rent_350_449,2011_Census_Total_Rent_450_549,2011_Census_Total_Rent_550_649,2011_Census_Total_Rent_650_or_more,2011_Census_Total_Rent_Not_stated,2011_Census_Total_Rent_Total
10101,36,21,19,8,8,0,5,0,3,40,199,804,338,917,1330,748,872,617,223,83,31,49,263,6275
10102,12,12,13,4,11,10,11,0,0,24,117,313,199,307,524,452,707,1035,1027,416,160,93,186,5419
10103,3,7,9,6,0,4,0,0,9,12,57,236,89,298,337,199,242,160,103,40,37,193,104,2038
10104,32,46,28,24,11,5,0,0,0,44,223,547,292,743,1277,914,1413,1063,338,48,14,66,268,6983
10201,49,37,26,48,45,28,5,0,4,120,442,691,777,972,1301,1062,2437,4331,2807,771,233,192,484,16058
10202,56,55,32,77,59,28,9,0,10,107,492,634,625,957,1580,1334,3259,4432,2056,321,96,107,478,15879
10301,14,16,16,12,10,0,0,0,3,26,120,359,211,519,756,591,861,721,335,39,7,23,155,4577
10302,57,35,3,4,0,4,0,0,0,41,198,1010,445,1424,1481,418,360,171,54,15,6,38,277,5699
10303,37,31,19,3,10,4,0,0,3,37,165,477,198,636,994,559,587,404,229,50,7,45,173,4359
10304,26,34,8,11,8,4,4,0,0,59,185,445,318,611,1074,577,956,881,500,146,36,80,307,5931
10401,30,25,12,28,19,0,3,0,0,38,178,374,176,540,877,598,1009,905,218,53,14,55,156,4975
10402,34,47,16,21,24,17,0,0,0,67,270,563,485,760,1183,932,1582,2204,1411,267,53,89,352,9881
10501,38,15,0,4,3,5,3,0,0,27,130,1141,297,950,597,154,118,55,29,7,6,25,256,3635
10502,18,20,3,3,3,0,0,0,0,16,68,426,92,515,518,180,107,71,23,9,6,26,110,2083
10503,60,35,12,14,10,3,0,4,5,44,245,831,465,1560,1579,735,934,521,226,16,7,55,299,7228
10601,17,33,22,32,18,8,0,0,3,77,246,562,356,639,1016,737,1419,1361,818,142,28,60,328,7466
10602,19,20,5,14,23,14,0,0,0,34,160,234,342,529,704,494,900,1507,1008,167,18,37,212,6152
10603,21,11,14,17,20,3,3,3,3,52,168,342,302,487,780,830,1368,1618,890,162,47,77,241,7144
10604,20,16,3,9,5,3,0,0,0,27,110,498,120,430,587,388,478,498,381,57,17,36,220,3710
10701,36,26,9,18,26,5,0,0,5,52,230,448,671,884,936,524,949,1198,544,105,23,42,265,6589
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6
10703,20,24,7,21,20,12,3,0,3,40,195,359,459,587,767,589,1085,1710,1296,298,56,73,255,7534
10704,29,45,25,39,39,31,22,5,6,115,463,789,1252,1056,1587,1100,2025,2975,2390,936,329,238,525,15202
10801,10,24,9,7,13,3,0,0,0,20,104,213,110,323,738,362,572,609,208,27,18,33,122,3335
10802,21,37,19,31,5,3,0,0,0,37,174,402,239,734,1142,753,899,533,152,50,10,37,182,5133
10803,0,0,0,0,0,0,0,0,0,0,0,20,6,6,5,9,3,4,4,0,0,0,6,63
10804,18,38,14,29,15,7,3,0,3,54,208,391,382,546,1050,739,1336,1766,1104,216,43,68,275,7916
10805,32,39,17,25,4,0,0,0,0,38,183,395,250,716,1209,674,1104,651,145,15,9,46,190,5404
10901,42,18,17,11,12,0,0,0,4,56,187,383,382,1295,1416,780,1090,834,309,52,31,48,246,6866
10902,12,8,3,0,0,0,0,0,0,11,49,306,62,362,374,66,61,22,18,7,6,12,65,1361
10903,42,30,9,11,3,0,0,0,0,44,161,618,200,869,936,337,449,184,49,21,9,37,188,3897
11001,21,14,3,6,5,12,3,3,3,22,115,454,178,588,886,464,599,486,291,32,8,28,164,4178
11002,25,27,17,8,4,0,0,0,3,26,142,632,204,874,938,393,407,129,49,9,9,25,189,3858
11003,40,17,3,9,6,4,0,0,3,32,153,728,162,880,679,220,298,178,99,22,6,24,177,3473
11004,46,52,24,29,15,7,0,0,4,51,263,833,342,1184,1735,1039,1375,1175,405,55,15,64,364,8586
11101,53,36,12,23,20,6,4,3,3,79,309,527,697,889,1098,706,1519,2485,1456,426,93,101,344,10341
11102,26,20,7,18,28,3,0,0,0,41,175,330,315,584,668,411,1086,1437,663,182,23,41,232,5972
11103,60,48,23,32,52,35,8,3,20,126,541,1050,1506,1464,1933,1272,2741,4890,3329,984,374,409,758,20710
