region_id,2011_Census_One_parent_family_with_children_under_15_and_dependent_students_Mortgage_repayment_4000_and_over,2011_Census_One_parent_family_with_children_under_15_and_dependent_students_Mortgage_repayment_Not_stated,2011_Census_One_parent_family_with_children_under_15_and_dependent_students_Total,2011_Census_One_parent_family_with_children_under_15_and_no_dependent_students_Mortgage_repayment_0_299,2011_Census_One_parent_family_with_children_under_15_and_no_dependent_students_Mortgage_repayment_300_449,2011_Census_One_parent_family_with_children_under_15_and_no_dependent_students_Mortgage_repayment_450_599,2011_Census_One_parent_family_with_children_under_15_and_no_dependent_students_Mortgage_repayment_600_799,2011_Census_One_parent_family_with_children_under_15_and_no_dependent_students_Mortgage_repayment_800_999,2011_Census_One_parent_family_with_children_under_15_and_no_dependent_students_Mortgage_repayment_1000_1399,2011_Census_One_parent_family_with_children_under_15_and_no_dependent_students_Mortgage_repayment_1400_1799,2011_Census_One_parent_family_with_children_under_15_and_no_dependent_students_Mortgage_repayment_1800_2399,2011_Census_One_parent_family_with_children_under_15_and_no_dependent_students_Mortgage_repayment_2400_2999,2011_Census_One_parent_family_with_children_under_15_and_no_dependent_students_Mortgage_repayment_3000_3999,2011_Census_One_parent_family_with_children_under_15_and_no_dependent_students_Mortgage_repayment_4000_and_over,2011_Census_One_parent_family_with_children_under_15_and_no_dependent_students_Mortgage_repayment_Not_stated,2011_Census_One_parent_family_with_children_under_15_and_no_dependent_students_Total,2011_Census_One_parent_family_with_no_children_under_15_and_with_dependent_students_Mortgage_repayment_0_299,2011_Census_One_parent_family_with_no_children_under_15_and_with_dependent_students_Mortgage_repayment_300_449,2011_Census_One_parent_family_with_no_children_under_15_and_with_dependent_students_Mortgage_repayment_450_599,2011_Census_One_parent_family_with_no_children_under_15_and_with_dependent_students_Mortgage_repayment_600_799,2011_Census_One_parent_family_with_no_children_under_15_and_with_dependent_students_Mortgage_repayment_800_999,2011_Census_One_parent_family_with_no_children_under_15_and_with_dependent_students_Mortgage_repayment_1000_1399,2011_Census_One_parent_family_with_no_children_under_15_and_with_dependent_students_Mortgage_repayment_1400_1799,2011_Census_One_parent_family_with_no_children_under_15_and_with_dependent_students_Mortgage_repayment_1800_2399,2011_Census_One_parent_family_with_no_children_under_15_and_with_dependent_students_Mortgage_repayment_2400_2999,2011_Census_One_parent_family_with_no_children_under_15_and_with_dependent_students_Mortgage_repayment_3000_3999,2011_Census_One_parent_family_with_no_children_under_15_and_with_dependent_students_Mortgage_repayment_4000_and_over,2011_Census_One_parent_family_with_no_children_under_15_and_with_dependent_students_Mortgage_repayment_Not_stated,2011_Census_One_parent_family_with_no_children_under_15_and_with_dependent_students_Total,2011_Census_One_parent_family_with_non_dependent_children_only_Mortgage_repayment_0_299,2011_Census_One_parent_family_with_non_dependent_children_only_Mortgage_repayment_300_449,2011_Census_One_parent_family_with_non_dependent_children_only_Mortgage_repayment_450_599,2011_Census_One_parent_family_with_non_dependent_children_only_Mortgage_repayment_600_799,2011_Census_One_parent_family_with_non_dependent_children_only_Mortgage_repayment_800_999,2011_Census_One_parent_family_with_non_dependent_children_only_Mortgage_repayment_1000_1399,2011_Census_One_parent_family_with_non_dependent_children_only_Mortgage_repayment_1400_1799,2011_Census_One_parent_family_with_non_dependent_children_only_Mortgage_repayment_1800_2399,2011_Census_One_parent_family_with_non_dependent_children_only_Mortgage_repayment_2400_2999,2011_Census_One_parent_family_with_non_dependent_children_only_Mortgage_repayment_3000_3999,2011_Census_One_parent_family_with_non_dependent_children_only_Mortgage_repayment_4000_and_over,2011_Census_One_parent_family_with_non_dependent_children_only_Mortgage_repayment_Not_stated,2011_Census_One_parent_family_with_non_dependent_children_only_Total,2011_Census_One_parent_families_Total_Mortgage_repayment_0_299,2011_Census_One_parent_families_Total_Mortgage_repayment_300_449,2011_Census_One_parent_families_Total_Mortgage_repayment_450_599,2011_Census_One_parent_families_Total_Mortgage_repayment_600_799,2011_Census_One_parent_families_Total_Mortgage_repayment_800_999,2011_Census_One_parent_families_Total_Mortgage_repayment_1000_1399,2011_Census_One_parent_families_Total_Mortgage_repayment_1400_1799,2011_Census_One_parent_families_Total_Mortgage_repayment_1800_2399,2011_Census_One_parent_families_Total_Mortgage_repayment_2400_2999,2011_Census_One_parent_families_Total_Mortgage_repayment_3000_3999,2011_Census_One_parent_families_Total_Mortgage_repayment_4000_and_over,2011_Census_One_parent_families_Total_Mortgage_repayment_Not_stated,2011_Census_One_parent_families_Total_Total,2011_Census_Total_Mortgage_repayment_0_299,2011_Census_Total_Mortgage_repayment_300_449,2011_Census_Total_Mortgage_repayment_450_599,2011_Census_Total_Mortgage_repayment_600_799,2011_Census_Total_Mortgage_repayment_800_999,2011_Census_Total_Mortgage_repayment_1000_1399,2011_Census_Total_Mortgage_repayment_1400_1799,2011_Census_Total_Mortgage_repayment_1800_2399,2011_Census_Total_Mortgage_repayment_2400_2999,2011_Census_Total_Mortgage_repayment_3000_3999,2011_Census_Total_Mortgage_repayment_4000_and_over,2011_Census_Total_Mortgage_repayment_Not_stated,2011_Census_Total_Total
10101,0,3,76,6,5,7,19,36,90,78,43,23,12,12,29,360,8,9,4,16,7,34,13,11,4,4,0,4,114,10,11,10,17,19,28,30,20,9,3,5,15,177,24,25,24,66,66,167,128,91,45,23,17,51,727,294,180,175,367,480,1291,1258,1276,703,560,315,343,7242
10102,4,4,78,3,4,6,7,22,47,55,76,50,18,15,12,315,4,4,3,8,8,21,21,18,11,6,7,3,114,8,7,3,19,11,28,30,30,20,13,10,5,184,18,15,16,39,45,109,119,141,85,44,36,24,691,181,98,93,191,257,691,877,1387,1043,1048,621,271,6758
10103,0,0,23,0,4,11,16,5,30,17,6,0,4,0,3,96,3,0,0,0,3,3,3,0,3,3,0,0,18,4,4,3,6,3,12,8,9,3,0,3,10,65,7,8,14,22,11,55,35,18,9,7,3,13,202,83,53,64,130,156,331,307,304,122,85,45,118,1798
10104,0,4,88,11,10,10,25,37,97,53,37,13,13,3,21,330,8,11,7,17,8,27,18,13,4,5,3,5,126,12,12,7,14,17,31,26,13,5,6,3,12,158,37,36,30,67,74,173,109,72,26,27,9,42,702,322,225,184,377,490,1145,961,1038,423,302,175,306,5948
10201,6,16,238,27,25,13,27,40,120,166,207,73,52,35,53,838,19,15,13,36,30,83,78,84,27,22,10,16,433,56,18,28,42,58,134,125,102,44,38,14,45,704,109,63,60,109,144,384,410,450,162,127,65,130,2213,670,332,327,568,759,2148,2684,4780,2557,1888,1030,880,18623
10202,5,9,237,23,15,27,46,81,190,212,221,81,43,15,68,1022,14,10,7,25,31,88,70,80,21,9,3,24,382,44,40,31,57,66,153,136,112,22,22,13,49,745,86,68,76,138,198,480,467,468,140,79,36,150,2386,466,305,292,579,781,2302,3138,4490,1945,1039,485,868,16690
10301,0,0,49,4,12,3,14,18,52,62,40,11,5,5,8,234,4,0,3,3,10,18,16,10,0,0,3,6,73,9,3,8,6,10,29,17,17,3,5,3,13,123,17,19,14,31,42,111,102,76,19,10,11,27,479,140,95,96,179,260,762,920,1057,421,239,139,214,4522
10302,0,4,68,11,18,21,32,55,62,26,19,3,4,0,18,269,3,6,10,4,11,16,6,6,3,4,0,7,76,14,11,16,14,13,23,9,11,4,0,0,15,130,31,38,50,63,85,118,52,44,10,8,0,44,543,377,195,245,409,547,1071,723,587,207,123,115,309,4908
10303,0,0,51,10,5,14,12,31,58,36,24,13,4,0,10,217,4,3,5,7,8,14,6,14,0,0,0,4,65,14,7,9,10,15,30,11,5,0,5,0,11,117,28,24,28,34,65,112,57,48,17,12,0,25,450,176,119,122,194,358,799,695,776,362,270,134,236,4241
10304,0,8,73,15,6,9,21,30,86,51,41,12,6,5,16,298,6,3,4,13,9,16,13,13,4,3,0,0,84,8,6,6,18,17,44,21,23,5,6,0,11,165,29,15,19,61,59,165,97,89,26,20,5,35,620,184,109,111,262,376,1018,1057,1225,525,374,194,271,5706
10401,0,0,68,8,10,18,21,41,71,59,30,3,3,3,20,287,3,7,7,9,9,30,19,15,0,3,0,0,102,13,7,11,19,17,33,10,17,3,3,5,13,151,24,27,39,54,75,158,103,68,10,9,8,33,608,214,187,174,320,421,961,899,712,220,151,105,199,4563
10402,3,6,110,9,11,11,35,42,108,100,74,23,19,15,27,474,8,15,6,14,30,45,27,28,12,4,0,8,197,13,15,11,29,23,43,40,30,15,4,6,17,246,33,46,33,83,105,226,192,144,53,30,24,58,1027,316,237,183,406,546,1304,1359,1653,644,400,251,373,7672
10501,3,0,19,11,14,8,13,18,24,4,3,3,0,0,3,101,0,3,3,4,3,4,0,0,0,0,0,0,17,4,4,9,10,6,5,5,0,0,3,3,3,52,18,21,23,30,31,33,9,6,3,3,6,6,189,167,90,84,169,189,293,159,145,45,51,51,89,1532
10502,0,4,31,19,7,27,33,30,44,16,10,3,0,0,18,207,0,9,3,7,3,5,5,0,0,0,0,7,39,6,14,4,8,6,13,3,4,0,0,0,7,65,28,34,39,51,44,66,27,14,3,0,0,36,342,115,113,151,210,247,375,223,159,37,25,32,143,1830
10503,0,4,84,13,28,20,54,54,97,83,47,20,8,5,32,461,4,3,4,20,17,25,21,5,0,3,3,4,109,10,7,16,23,20,40,21,15,4,3,3,12,174,30,46,43,101,106,182,138,75,27,17,11,52,828,344,197,201,448,574,1407,1207,1081,421,234,178,376,6668
10601,3,3,108,10,9,17,25,33,132,93,89,34,26,11,45,524,7,7,7,14,18,40,31,19,3,3,0,10,159,8,15,17,24,26,55,38,42,12,4,6,20,267,28,34,46,73,87,250,188,164,57,33,20,78,1058,258,196,204,398,543,1557,1780,2024,904,745,368,575,9552
10602,3,6,79,14,8,5,8,30,85,90,75,14,6,12,14,361,4,5,6,8,15,38,27,33,0,10,3,4,153,16,10,6,20,18,49,39,27,11,11,4,14,225,37,23,17,39,74,183,171,156,31,27,22,38,818,252,154,138,251,403,1158,1510,2200,877,610,273,337,8163
