region_id,Managers_2001_Census_Males,Managers_2001_Census_Females,Managers_2001_Census_Persons,Managers_2006_Census_Males,Managers_2006_Census_Females,Managers_2006_Census_Persons,Managers_2011_Census_Males,Managers_2011_Census_Females,Managers_2011_Census_Persons,Professionals_2001_Census_Males,Professionals_2001_Census_Females,Professionals_2001_Census_Persons,Professionals_2006_Census_Males,Professionals_2006_Census_Females,Professionals_2006_Census_Persons,Professionals_2011_Census_Males,Professionals_2011_Census_Females,Professionals_2011_Census_Persons,Technicians_and_trades_workers_2001_Census_Males,Technicians_and_trades_workers_2001_Census_Females,Technicians_and_trades_workers_2001_Census_Persons,Technicians_and_trades_workers_2006_Census_Males,Technicians_and_trades_workers_2006_Census_Females,Technicians_and_trades_workers_2006_Census_Persons,Technicians_and_trades_workers_2011_Census_Males,Technicians_and_trades_workers_2011_Census_Females,Technicians_and_trades_workers_2011_Census_Persons,Community_and_personal_service_workers_2001_Census_Males,Community_and_personal_service_workers_2001_Census_Females,Community_and_personal_service_workers_2001_Census_Persons,Community_and_personal_service_workers_2006_Census_Males,Community_and_personal_service_workers_2006_Census_Females,Community_and_personal_service_workers_2006_Census_Persons,Community_and_personal_service_workers_2011_Census_Males,Community_and_personal_service_workers_2011_Census_Females,Community_and_personal_service_workers_2011_Census_Persons,Clerical_and_administrative_workers_2001_Census_Males,Clerical_and_administrative_workers_2001_Census_Females,Clerical_and_administrative_workers_2001_Census_Persons,Clerical_and_administrative_workers_2006_Census_Males,Clerical_and_administrative_workers_2006_Census_Females,Clerical_and_administrative_workers_2006_Census_Persons,Clerical_and_administrative_workers_2011_Census_Males,Clerical_and_administrative_workers_2011_Census_Females,Clerical_and_administrative_workers_2011_Census_Persons,Sales_workers_2001_Census_Males,Sales_workers_2001_Census_Females,Sales_workers_2001_Census_Persons,Sales_workers_2006_Census_Males,Sales_workers_2006_Census_Females,Sales_workers_2006_Census_Persons,Sales_workers_2011_Census_Males,Sales_workers_2011_Census_Females,Sales_workers_2011_Census_Persons,Machinery_operators_and_drivers_2001_Census_Males,Machinery_operators_and_drivers_2001_Census_Females,Machinery_operators_and_drivers_2001_Census_Persons,Machinery_operators_and_drivers_2006_Census_Males,Machinery_operators_and_drivers_2006_Census_Females,Machinery_operators_and_drivers_2006_Census_Persons,Machinery_operators_and_drivers_2011_Census_Males,Machinery_operators_and_drivers_2011_Census_Females,Machinery_operators_and_drivers_2011_Census_Persons,Labourers_2001_Census_Males,Labourers_2001_Census_Females,Labourers_2001_Census_Persons,Labourers_2006_Census_Males,Labourers_2006_Census_Females,Labourers_2006_Census_Persons,Labourers_2011_Census_Males,Labourers_2011_Census_Females,Labourers_2011_Census_Persons,Inadequately_described_Not_stated_2001_Census_Males,Inadequately_described_Not_stated_2001_Census_Females,Inadequately_described_Not_stated_2001_Census_Persons,Inadequately_described_Not_stated_2006_Census_Males,Inadequately_described_Not_stated_2006_Census_Females,Inadequately_described_Not_stated_2006_Census_Persons,Inadequately_described_Not_stated_2011_Census_Males,Inadequately_described_Not_stated_2011_Census_Females,Inadequately_described_Not_stated_2011_Census_Persons,Total_2001_Census_Males,Total_2001_Census_Females,Total_2001_Census_Persons,Total_2006_Census_Males,Total_2006_Census_Females,Total_2006_Census_Persons,Total_2011_Census_Males,Total_2011_Census_Females,Total_2011_Census_Persons
10101,3621,1726,5347,3509,1852,5361,3515,1863,5378,1459,2037,3496,1669,2466,4135,1842,2825,4667,3143,566,3709,3290,608,3898,3603,694,4297,927,1599,2526,995,1968,2963,1232,2316,3548,591,2524,3115,664,2755,3419,794,3073,3867,746,1402,2148,896,1576,2472,915,1702,2617,1771,302,2073,1884,190,2074,1862,174,2036,2351,1225,3576,2452,1295,3747,2289,1158,3447,271,234,505,276,159,435,333,223,556,14880,11615,26495,15635,12869,28504,16385,14028,30413
10102,2037,1103,3140,2537,1483,4020,2682,1770,4452,1813,1891,3704,2290,2637,4927,2612,3137,5749,2729,454,3183,3192,553,3745,3587,586,4173,620,1101,1721,837,1400,2237,1019,1647,2666,1008,3164,4172,1136,3626,4762,1393,4220,5613,702,1176,1878,748,1232,1980,811,1355,2166,1284,142,1426,1319,106,1425,1467,95,1562,1255,708,1963,1455,763,2218,1493,674,2167,231,148,379,264,177,441,401,321,722,11679,9887,21566,13778,11977,25755,15465,13805,29270
10103,1859,938,2797,1899,972,2871,1678,929,2607,1467,1297,2764,1442,1434,2876,1372,1451,2823,1960,306,2266,1831,310,2141,1795,305,2100,659,960,1619,674,1026,1700,699,1052,1751,381,1473,1854,335,1382,1717,329,1317,1646,544,891,1435,547,823,1370,530,858,1388,865,153,1018,765,81,846,809,84,893,1002,512,1514,951,543,1494,937,481,1418,170,89,259,135,79,214,142,88,230,8907,6619,15526,8579,6650,15229,8291,6565,14856
10104,2280,1242,3522,2365,1431,3796,2128,1261,3389,1345,1693,3038,1582,2129,3711,1608,2441,4049,2763,496,3259,3249,603,3852,3334,685,4019,646,1425,2071,758,1781,2539,846,2217,3063,450,2173,2623,473,2455,2928,513,2548,3061,947,1547,2494,1003,1846,2849,1006,1808,2814,1194,178,1372,1334,91,1425,1389,118,1507,1813,954,2767,2098,1203,3301,2106,1103,3209,250,182,432,240,163,403,228,156,384,11688,9890,21578,13102,11702,24804,13158,12337,25495
10201,5120,2254,7374,5157,2711,7868,5454,2907,8361,5627,5979,11606,6020,6920,12940,6623,8089,14712,8684,1232,9916,8608,1408,10016,8961,1542,10503,2200,3681,5881,2234,4475,6709,2512,5247,7759,2494,8416,10910,2274,8137,10411,2368,8385,10753,2678,4501,7179,2861,4580,7441,2861,4682,7543,3373,616,3989,2872,380,3252,2934,359,3293,3643,2103,5746,4111,2229,6340,4112,2015,6127,640,465,1105,581,411,992,662,471,1133,34459,29247,63706,34718,31251,65969,36487,33697,70184
10202,3161,1527,4688,3425,1831,5256,3543,2075,5618,2557,3189,5746,2881,4044,6925,3252,5028,8280,7369,977,8346,7755,1207,8962,8407,1364,9771,1462,2893,4355,1680,3964,5644,2073,5005,7078,1374,5669,7043,1536,5984,7520,1650,6497,8147,1998,3825,5823,2206,4276,6482,2284,4769,7053,3563,600,4163,3677,489,4166,4157,450,4607,3754,1973,5727,4353,2392,6745,4810,2318,7128,531,416,947,495,377,872,626,380,1006,25769,21069,46838,28008,24564,52572,30802,27886,58688
10301,1661,746,2407,1710,804,2514,1658,848,2506,1228,1647,2875,1291,1877,3168,1384,2143,3527,2098,343,2441,2360,429,2789,2566,433,2999,614,1042,1656,641,1223,1864,718,1501,2219,436,1815,2251,437,1939,2376,477,1984,2461,565,1167,1732,630,1315,1945,646,1286,1932,1158,154,1312,1192,100,1292,1360,98,1458,1412,823,2235,1472,891,2363,1537,909,2446,176,116,292,156,104,260,200,119,319,9348,7853,17201,9889,8682,18571,10546,9321,19867
10302,4371,1897,6268,3965,1819,5784,3648,1660,5308,1010,1629,2639,921,1819,2740,1021,1998,3019,2629,467,3096,2503,511,3014,2554,516,3070,431,1295,1726,386,1534,1920,431,1634,2065,368,1913,2281,393,1954,2347,392,2014,2406,648,1074,1722,759,1099,1858,655,1186,1841,1612,181,1793,1623,113,1736,1894,144,2038,2114,989,3103,2120,1016,3136,1723,913,2636,308,238,546,232,164,396,245,163,408,13491,9683,23174,12902,10029,22931,12563,10228,22791
10303,1727,879,2606,1672,958,2630,1538,866,2404,733,1127,1860,812,1273,2085,838,1485,2323,2368,390,2758,2441,422,2863,2629,458,3087,433,920,1353,397,1157,1554,452,1324,1776,303,1363,1666,305,1560,1865,289,1728,2017,422,1028,1450,473,1093,1566,473,1078,1551,1762,152,1914,1808,82,1890,2255,112,2367,1490,850,2340,1403,865,2268,1323,829,2152,179,147,326,170,96,266,184,114,298,9417,6856,16273,9481,7506,16987,9981,7994,17975
10304,2290,991,3281,2260,1117,3377,2268,1089,3357,1515,1821,3336,1548,2170,3718,1836,2687,4523,2642,444,3086,2743,505,3248,3285,571,3856,414,1159,1573,495,1437,1932,604,1739,2343,555,2350,2905,519,2496,3015,621,2747,3368,769,1326,2095,777,1327,2104,793,1341,2134,1642,206,1848,1605,130,1735,2167,194,2361,2080,1207,3287,1804,1033,2837,1783,1079,2862,230,169,399,184,140,324,238,149,387,12137,9673,21810,11935,10355,22290,13595,11596,25191
10401,1478,734,2212,1459,766,2225,1322,771,2093,944,1163,2107,986,1387,2373,1038,1564,2602,1730,306,2036,2002,381,2383,2057,402,2459,524,1037,1561,593,1276,1869,706,1611,2317,363,1595,1958,339,1696,2035,386,1769,2155,634,1064,1698,684,1198,1882,678,1346,2024,1105,120,1225,1167,69,1236,1181,69,1250,1460,617,2077,1643,767,2410,1634,724,2358,186,148,334,160,113,273,178,114,292,8424,6784,15208,9033,7653,16686,9180,8370,17550
10402,2598,1309,3907,2657,1458,4115,2686,1611,4297,1957,2293,4250,2352,3024,5376,2511,3533,6044,3294,588,3882,3729,657,4386,3906,698,4604,844,1748,2592,1026,2339,3365,1084,2826,3910,706,3018,3724,750,3410,4160,822,3709,4531,1303,2029,3332,1318,2257,3575,1358,2348,3706,1416,223,1639,1482,103,1585,1656,121,1777,1971,1089,3060,2349,1329,3678,2509,1272,3781,288,263,551,286,208,494,286,195,481,14377,12560,26937,15949,14785,30734,16818,16313,33131
10501,2135,961,3096,1878,886,2764,1721,833,2554,510,853,1363,455,902,1357,508,895,1403,1297,232,1529,1176,205,1381,1150,183,1333,336,708,1044,295,756,1051,297,852,1149,183,917,1100,154,880,1034,167,869,1036,207,453,660,176,402,578,175,390,565,1176,169,1345,1143,99,1242,1122,114,1236,1338,543,1881,1046,543,1589,982,464,1446,255,166,421,159,102,261,149,86,235,7437,5002,12439,6482,4775,11257,6271,4686,10957
10502,869,460,1329,749,463,1212,774,451,1225,442,674,1116,476,744,1220,492,832,1324,1022,183,1205,1026,188,1214,1092,197,1289,344,632,976,303,649,952,328,784,1112,211,714,925,211,679,890,203,721,924,290,496,786,245,533,778,214,497,711,717,59,776,768,32,800,838,25,863,701,374,1075,671,408,1079,665,421,1086,137,80,217,105,65,170,91,63,154,4733,3672,8405,4554,3761,8315,4697,3991,8688
10503,3823,1741,5564,3474,1684,5158,3454,1589,5043,1504,2324,3828,1538,2700,4238,1639,3208,4847,3225,569,3794,3209,595,3804,3337,602,3939,660,1661,2321,672,1921,2593,877,2410,3287,589,2826,3415,599,2849,3448,704,3018,3722,1028,1732,2760,1094,1741,2835,1089,1786,2875,1798,224,2022,1661,128,1789,1787,128,1915,2179,1195,3374,2371,1291,3662,2186,1182,3368,291,244,535,242,182,424,246,183,429,15097,12516,27613,14860,13091,27951,15319,14106,29425
10601,2240,1079,3319,2257,1245,3502,2352,1366,3718,1382,1786,3168,1556,2087,3643,1790,2462,4252,4664,664,5328,5341,790,6131,5916,932,6848,1031,1643,2674,931,2141,3072,997,2634,3631,544,2749,3293,554,3030,3584,624,3586,4210,704,1836,2540,799,2141,2940,796,2323,3119,3618,340,3958,4051,316,4367,5108,473,5581,2216,1544,3760,2425,1708,4133,2525,1827,4352,316,210,526,332,211,543,433,227,660,16715,11851,28566,18246,13669,31915,20541,15830,36371
