Level,Code,Label,Area sqkm,,,
AUS,0,Australia,7687808.61,,,
CED,CED101,"Banks, NSW",44.6388,,,
CED,CED102,"Barton, NSW",40.3341,,,
CED,CED103,"Bennelong, NSW",58.6107,,,
CED,CED104,"Berowra, NSW",745.688,,,
CED,CED105,"Blaxland, NSW",60.7705,,,
CED,CED106,"Bradfield, NSW",96.8595,,,
CED,CED107,"Calare, NSW",30672.6,,,
CED,CED108,"Charlton, NSW",575.626,,,
CED,CED109,"Chifley, NSW",136.141,,,
CED,CED110,"Cook, NSW",68.0838,,,
CED,CED111,"Cowper, NSW",8557.82,,,
CED,CED112,"Cunningham, NSW",1186.88,,,
CED,CED113,"Dobell, NSW",713.159,,,
CED,CED114,"Eden-Monaro, NSW",29412.33,,,
CED,CED115,"Farrer, NSW",249551.66,,,
CED,CED116,"Fowler, NSW",72.1554,,,
CED,CED117,"Gilmore, NSW",4917.16,,,
CED,CED118,"Grayndler, NSW",31.6708,,,
CED,CED119,"Greenway, NSW",83.282,,,
CED,CED120,"Hughes, NSW",172.732,,,
CED,CED121,"Hume, NSW",34563.57,,,
CED,CED122,"Hunter, NSW",19092.84,,,
CED,CED123,"Kingsford Smith, NSW",57.6591,,,
CED,CED124,"Lindsay, NSW",349.105,,,
CED,CED125,"Lyne, NSW",11683.71,,,
CED,CED126,"Macarthur, NSW",737.768,,,
CED,CED127,"Mackellar, NSW",212.293,,,
CED,CED128,"Macquarie, NSW",3616.07,,,
CED,CED129,"McMahon, NSW",158.918,,,
CED,CED130,"Mitchell, NSW",98.4419,,,
CED,CED131,"New England, NSW",58967.34,,,
CED,CED132,"Newcastle, NSW",309.707,,,
CED,CED133,"North Sydney, NSW",44.087,,,
CED,CED134,"Page, NSW",16189.11,,,
CED,CED135,"Parkes, NSW",256860.42,,,
CED,CED136,"Parramatta, NSW",55.7041,,,
CED,CED137,"Paterson, NSW",6547.12,,,
CED,CED138,"Reid, NSW",56.2396,,,
CED,CED139,"Richmond, NSW",2771.26,,,
CED,CED140,"Riverina, NSW",58754.29,,,
CED,CED141,"Robertson, NSW",890.395,,,
CED,CED142,"Shortland, NSW",187.922,,,
CED,CED143,"Sydney, NSW",44.7628,,,
CED,CED144,"Throsby, NSW",1082.96,,,
CED,CED145,"Warringah, NSW",53.5672,,,
CED,CED146,"Watson, NSW",41.7548,,,
CED,CED147,"Wentworth, NSW",29.9057,,,
CED,CED148,"Werriwa, NSW",153.659,,,
CED,CED194,No Usual Address (NSW),0,,,
CED,CED197,Migratory - Offshore - Shipping (NSW),0,,,
CED,CED201,"Aston, Vic",99.8284,,,
CED,CED202,"Ballarat, Vic",4627.34,,,
CED,CED203,"Batman, Vic",53.4711,,,
CED,CED204,"Bendigo, Vic",7584.81,,,
CED,CED205,"Bruce, Vic",68.116,,,
CED,CED206,"Calwell, Vic",503.829,,,
CED,CED207,"Casey, Vic",406.444,,,
CED,CED208,"Chisholm, Vic",60.758,,,
CED,CED209,"Corangamite, Vic",7561.57,,,
CED,CED210,"Corio, Vic",816.771,,,
CED,CED211,"Deakin, Vic",61.4455,,,
CED,CED212,"Dunkley, Vic",149.966,,,
CED,CED213,"Flinders, Vic",1952.54,,,
CED,CED214,"Gellibrand, Vic",91.2396,,,
CED,CED215,"Gippsland, Vic",33059.86,,,
CED,CED216,"Goldstein, Vic",48.8627,,,
CED,CED217,"Gorton, Vic",141.971,,,
CED,CED218,"Higgins, Vic",38.7885,,,
CED,CED219,"Holt, Vic",168.191,,,
CED,CED220,"Hotham, Vic",79.7429,,,
CED,CED221,"Indi, Vic",28281.68,,,
CED,CED222,"Isaacs, Vic",151.072,,,
CED,CED223,"Jagajaga, Vic",84.3602,,,
CED,CED224,"Kooyong, Vic",49.2708,,,
CED,CED225,"La Trobe, Vic",555.318,,,
CED,CED226,"Lalor, Vic",1013.54,,,
CED,CED227,"Mallee, Vic",71145.41,,,
CED,CED228,"Maribyrnong, Vic",71.9765,,,
CED,CED229,"Mcewen, Vic",10616.8,,,
CED,CED230,"Mcmillan, Vic",8347.59,,,
CED,CED231,"Melbourne, Vic",53.6824,,,
CED,CED232,"Melbourne Ports, Vic",43.6207,,,
CED,CED233,"Menzies, Vic",120.925,,,
CED,CED234,"Murray, Vic",15697.19,,,
CED,CED235,"Scullin, Vic",90.6761,,,
CED,CED236,"Wannon, Vic",33539.95,,,
CED,CED237,"Wills, Vic",57.1177,,,
CED,CED294,No Usual Address (Vic.),0,,,
CED,CED297,Migratory - Offshore - Shipping (Vic.),0,,,
CED,CED301,"Blair, Qld",6407.31,,,
CED,CED302,"Bonner, Qld",372.847,,,
CED,CED303,"Bowman, Qld",536.246,,,
CED,CED304,"Brisbane, Qld",53.4692,,,
CED,CED305,"Capricornia, Qld",94222.2,,,
CED,CED306,"Dawson, Qld",11485.36,,,
CED,CED307,"Dickson, Qld",720.91,,,
CED,CED308,"Fadden, Qld",394.885,,,
CED,CED309,"Fairfax, Qld",1042.93,,,
CED,CED310,"Fisher, Qld",1159.96,,,
CED,CED311,"Flynn, Qld",132850.76,,,
CED,CED312,"Forde, Qld",412.446,,,
CED,CED313,"Griffith, Qld",55.1639,,,
CED,CED314,"Groom, Qld",5639.75,,,
CED,CED315,"Herbert, Qld",1158.38,,,
CED,CED316,"Hinkler, Qld",3429.98,,,
CED,CED317,"Kennedy, Qld",582470.69,,,
CED,CED318,"Leichhardt, Qld",132872.5,,,
CED,CED319,"Lilley, Qld",147.176,,,
CED,CED320,"Longman, Qld",1235.87,,,
CED,CED321,"Maranoa, Qld",729818.63,,,
CED,CED322,"Mcpherson, Qld",230.957,,,
CED,CED323,"Moncrieff, Qld",91.4948,,,
CED,CED324,"Moreton, Qld",109.549,,,
CED,CED325,"Oxley, Qld",152.236,,,
CED,CED326,"Petrie, Qld",149.112,,,
CED,CED327,"Rankin, Qld",130.975,,,
CED,CED328,"Ryan, Qld",426.596,,,
CED,CED329,"Wide Bay, Qld",14594.97,,,
CED,CED330,"Wright, Qld",7584.71,,,
CED,CED394,No Usual Address (Qld),0,,,
CED,CED397,Migratory - Offshore - Shipping (Qld),0,,,
CED,CED401,"Adelaide, SA",75.0293,,,
CED,CED402,"Barker, SA",58677.12,,,
CED,CED403,"Boothby, SA",123.117,,,
CED,CED404,"Grey, SA",909592,,,
CED,CED405,"Hindmarsh, SA",73.3682,,,
CED,CED406,"Kingston, SA",381.342,,,
CED,CED407,"Makin, SA",112.665,,,
CED,CED408,"Mayo, SA",9201.45,,,
CED,CED409,"Port Adelaide, SA",254.789,,,
CED,CED410,"Sturt, SA",84.3979,,,
CED,CED411,"Wakefield, SA",5604.08,,,
CED,CED494,No Usual Address (SA),0,,,
CED,CED497,Migratory - Offshore - Shipping (SA),0,,,
CED,CED501,"Brand, WA",410.485,,,
CED,CED502,"Canning, WA",6046.09,,,
CED,CED503,"Cowan, WA",180.454,,,
CED,CED504,"Curtin, WA",90.078,,,
CED,CED505,"Durack, WA",1583683.7,,,
CED,CED506,"Forrest, WA",12776.98,,,
CED,CED507,"Fremantle, WA",200.905,,,
CED,CED508,"Hasluck, WA",236.496,,,
CED,CED509,"Moore, WA",139.112,,,
CED,CED510,"O'Connor, WA",908062.34,,,
CED,CED511,"Pearce, WA",14383.68,,,
CED,CED512,"Perth, WA",75.467,,,
CED,CED513,"Stirling, WA",78.4441,,,
CED,CED514,"Swan, WA",123.874,,,
CED,CED515,"Tangney, WA",86.0984,,,
CED,CED594,No Usual Address (WA),0,,,
CED,CED597,Migratory - Offshore - Shipping (WA),0,,,
CED,CED601,"Bass, Tas",7588.4,,,
CED,CED602,"Braddon, Tas",20883.99,,,
CED,CED603,"Denison, Tas",294.562,,,
CED,CED604,"Franklin, Tas",2748.3,,,
CED,CED605,"Lyons, Tas",36502.94,,,
CED,CED694,No Usual Address (Tas.),0,,,
CED,CED697,Migratory - Offshore - Shipping (Tas.),0,,,
CED,CED701,"Lingiari, NT",1348081.72,,,
CED,CED702,"Solomon, NT",266.862,,,
CED,CED794,No Usual Address (NT),0,,,
CED,CED797,Migratory - Offshore - Shipping (NT),0,,,
CED,CED801,"Canberra, ACT",1920.65,,,
CED,CED802,"Fraser, ACT",505.09,,,
CED,CED894,No Usual Address (ACT),0,,,
CED,CED897,Migratory - Offshore - Shipping (ACT),0,,,
CED,CED994,No Usual Address (OT),0,,,
CED,CED997,Migratory - Offshore - Shipping (OT),0,,,
GCCSA,1GSYD,Greater Sydney,12367.74,,,
GCCSA,1RNSW,Rest of NSW,788441.03,,,
GCCSA,19499,No Usual Address (NSW),0,,,
GCCSA,19799,Migratory - Offshore - Shipping (NSW),0,,,
GCCSA,2GMEL,Greater Melbourne,9990.52,,,
GCCSA,2RVIC,Rest of Vic.,217505.19,,,
GCCSA,29499,No Usual Address (Vic.),0,,,
GCCSA,29799,Migratory - Offshore - Shipping (Vic.),0,,,
GCCSA,3GBRI,Greater Brisbane,15825.93,,,
GCCSA,3RQLD,Rest of Qld,1714132.14,,,
GCCSA,39499,No Usual Address (Qld),0,,,
GCCSA,39799,Migratory - Offshore - Shipping (Qld),0,,,
GCCSA,4GADE,Greater Adelaide,3257.66,,,
GCCSA,4RSAU,Rest of SA,980921.69,,,
GCCSA,49499,No Usual Address (SA),0,,,
GCCSA,49799,Migratory - Offshore - Shipping (SA),0,,,
GCCSA,5GPER,Greater Perth,6417.86,,,
GCCSA,5RWAU,Rest of WA,2520156.34,,,
GCCSA,59499,No Usual Address (WA),0,,,
GCCSA,59799,Migratory - Offshore - Shipping (WA),0,,,
GCCSA,6GHOB,Greater Hobart,1695.46,,,
GCCSA,6RTAS,Rest of Tas.,66322.73,,,
GCCSA,69499,No Usual Address (Tas.),0,,,
GCCSA,69799,Migratory - Offshore - Shipping (Tas.),0,,,
GCCSA,7GDAR,Greater Darwin,3163.9,,,
GCCSA,7RNTE,Rest of NT,1345034.83,,,
GCCSA,79499,No Usual Address (NT),0,,,
GCCSA,79799,Migratory - Offshore - Shipping (NT),0,,,
GCCSA,8ACTE,Australian Capital Territory,2357.95,,,
GCCSA,89499,No Usual Address (ACT),0,,,
GCCSA,89799,Migratory - Offshore - Shipping (ACT),0,,,
GCCSA,9OTER,Other Territories,217.651,,,
GCCSA,99499,No Usual Address (OT),0,,,
GCCSA,99799,Migratory - Offshore - Shipping (OT),0,,,
IARE,IARE101001,Bogan,14999.68,,,
IARE,IARE101002,Dubbo,3803.62,,,
IARE,IARE101003,Gilgandra,4443.16,,,
IARE,IARE101004,Narromine,5955.04,,,
IARE,IARE101005,Parkes,5651.74,,,
IARE,IARE101006,Warren,9681.4,,,
IARE,IARE101007,Warrumbungle Shire,10473.88,,,
IARE,IARE101008,Wellington,4112.08,,,
IARE,IARE102001,Armidale,3760.23,,,
IARE,IARE102002,Glen Innes,5480.36,,,
IARE,IARE102003,Gunnedah,4941.67,,,
IARE,IARE102004,Guyra - Tingha,4677.84,,,
IARE,IARE102005,Inverell - Gwydir,17439.1,,,
IARE,IARE102006,Liverpool Plains,5077.91,,,
IARE,IARE102007,Moree,39.2996,,,
IARE,IARE102008,Moree Plains,18287.71,,,
IARE,IARE102009,Muswellbrook,3404.99,,,
IARE,IARE102010,Narrabri,13059.81,,,
IARE,IARE102011,Tamworth,9221.21,,,
IARE,IARE102012,Tenterfield - Jubullum Village,7322.27,,,
IARE,IARE102013,Upper Hunter,8067.45,,,
IARE,IARE102014,Uralla - Walcha,9837.51,,,
IARE,IARE103001,Bourke,42033.85,,,
IARE,IARE103002,Brewarrina,18515.23,,,
IARE,IARE103003,Cobar - Murrin Bridge,45543.38,,,
IARE,IARE103004,Coonamble,9628.81,,,
IARE,IARE103005,Far West,146861.26,,,
IARE,IARE103006,Walgett,23312.91,,,
IARE,IARE104001,Ballina - Bagotville,480.301,,,
IARE,IARE104002,Byron,568.211,,,
IARE,IARE104003,Cessnock,1968.45,,,
IARE,IARE104004,Clarence Valley,10456.18,,,
IARE,IARE104005,Coffs Harbour - Nambucca,4244.55,,,
IARE,IARE104006,Gloucester - Dungog,5183.22,,,
IARE,IARE104007,Gosford,941.059,,,
IARE,IARE104008,Great Lakes,3337.42,,,
IARE,IARE104009,Kempsey,3868.38,,,
IARE,IARE104010,Kyogle,3551.63,,,
IARE,IARE104011,Lake Macquarie,646.009,,,
IARE,IARE104012,Lismore,1302.52,,,
IARE,IARE104013,Maitland,388.539,,,
IARE,IARE104014,Newcastle,188.723,,,
IARE,IARE104015,Port Macquarie - Hastings,3687.78,,,
IARE,IARE104016,Port Stephens,894.529,,,
IARE,IARE104017,Richmond Valley,3060.61,,,
IARE,IARE104018,Singleton,4349.08,,,
IARE,IARE104019,Taree,3741.11,,,
IARE,IARE104020,Tweed,1307.44,,,
IARE,IARE104021,Wyong,739.8,,,
IARE,IARE105001,Albury,353.836,,,
IARE,IARE105002,Balranald - Wentworth,49753.13,,,
IARE,IARE105003,Bathurst,3809.66,,,
IARE,IARE105004,Blayney - Cabonne,6737.05,,,
IARE,IARE105005,Carrathool - Murrumbidgee,20437.49,,,
IARE,IARE105006,Central Murray,33814.26,,,
IARE,IARE105007,Coolamon - Temora - West Wyalong,16807.65,,,
IARE,IARE105008,Cootamundra,1656.12,,,
IARE,IARE105009,Cowra,2897.28,,,
IARE,IARE105010,Deniliquin - Murray,4487.64,,,
IARE,IARE105011,Forbes,4227.69,,,
IARE,IARE105012,Griffith - Leeton,2761.76,,,
IARE,IARE105013,Gundagai - Junee - Harden,6249.92,,,
IARE,IARE105014,Lachlan,15859.95,,,
IARE,IARE105015,Lithgow - Oberon,8257.07,,,
IARE,IARE105016,Mudgee,10961.5,,,
IARE,IARE105017,Narrandera,3809.03,,,
IARE,IARE105018,Orange,283.938,,,
IARE,IARE105019,Tumut,4650.08,,,
IARE,IARE105020,Upper Murray,18645.31,,,
IARE,IARE105021,Wagga Wagga,4885.95,,,
IARE,IARE105022,Young,2643.87,,,
IARE,IARE106001,Bega Valley,7942.54,,,
IARE,IARE106002,Eurobodalla,1922.4,,,
IARE,IARE106003,Shoalhaven,4374.76,,,
IARE,IARE106004,Snowy - Monaro,20658.47,,,
IARE,IARE106005,Southern Tablelands,19883.7,,,
IARE,IARE107001,Auburn,32.4769,,,
IARE,IARE107002,Baulkham Hills,400.45,,,
IARE,IARE107003,Blacktown,241.391,,,
IARE,IARE107004,Blue Mountains,942.407,,,
IARE,IARE107005,Botany Bay,16.0866,,,
IARE,IARE107006,Camden,206.253,,,
IARE,IARE107007,Campbelltown,334.367,,,
IARE,IARE107008,Canterbury - Bankstown,110.701,,,
IARE,IARE107009,Fairfield,129.297,,,
IARE,IARE107010,Hawkesbury,2658.47,,,
IARE,IARE107011,Holroyd,40.0239,,,
IARE,IARE107012,Hornsby - Ku-ring-gai,551.612,,,
IARE,IARE107013,Hunters Hill - Ryde,46.19,,,
IARE,IARE107014,Hurstville - Kogarah,38.2673,,,
IARE,IARE107015,Kiama - Shellharbour,390.904,,,
IARE,IARE107016,Leichhardt,10.639,,,
IARE,IARE107017,Liverpool,276.179,,,
IARE,IARE107018,Lord Howe Island,16.292,,,
IARE,IARE107019,Marrickville,16.6533,,,
IARE,IARE107020,Northern Beaches,254.037,,,
IARE,IARE107021,Parramatta,60.3803,,,
IARE,IARE107022,Penrith,414.241,,,
IARE,IARE107023,Randwick - La Perouse,36.3307,,,
IARE,IARE107024,Rockdale,33.9795,,,
IARE,IARE107025,Sutherland Shire,296.284,,,
IARE,IARE107026,Sydney - City,26.3428,,,
IARE,IARE107027,Sydney - Inner West,48.8702,,,
IARE,IARE107028,Sydney - Lower North,52.0324,,,
IARE,IARE107029,Wollondilly,3391.4,,,
IARE,IARE107030,Wollongong,403.705,,,
IARE,IARE107031,Woollahra - Waverley,21.517,,,
